GC,CONF,REM SOS,FPI,SOS,AVGWP,SOR,AP/CFP,Team
,Big Ten,14,1,51,20,3,4,Ohio State Buckeyes
,Big 12,26,2,84,6,4,12,Oklahoma Sooners
,SEC,25,3,18,35,16,11,Alabama Crimson Tide
,Big 12,12,4,17,13,1,3,Texas Longhorns
,Pac-12,22,5,105,10,13,8,Oregon Ducks
,Big Ten,16,6,100,8,9,6,Penn State Nittany Lions
,SEC,35,7,95,21,7,1,Georgia Bulldogs
,Big Ten,9,8,112,2,18,2,Michigan Wolverines
,Pac-12,15,9,92,1,5,7,Washington Huskies
,ACC,60,10,31,43,2,5,Florida State Seminoles
,FBS Indep.,61,11,10,14,14,10,Notre Dame Fighting Irish
,Pac-12,1,12,119,4,21,9,USC Trojans
,SEC,42,13,4,44,8,16,Ole Miss Rebels
,SEC,34,14,5,48,33,23,LSU Tigers
,ACC,38,15,104,5,12,17,Miami Hurricanes
,SEC,4,16,39,18,23,--,Texas A&M Aggies
,ACC,49,17,21,31,39,--,Clemson Tigers
,SEC,10,18,96,26,42,22,Tennessee Volunteers
,Pac-12,33,19,89,24,40,15,Oregon State Beavers
,ACC,53,20,101,25,10,14,North Carolina Tar Heels
,ACC,56,21,79,32,38,--,Syracuse Orange
,Big 12,41,22,73,50,55,--,Kansas State Wildcats
,ACC,46,23,52,17,27,19,Duke Blue Devils
,Big Ten,37,24,94,47,43,--,Wisconsin Badgers
,Big Ten,2,25,121,11,22,--,Maryland Terrapins
,Pac-12,17,26,58,54,25,18,Utah Utes
,Big 12,6,27,102,27,66,--,TCU Horned Frogs
,ACC,45,28,109,30,17,25,Louisville Cardinals
,Pac-12,54,29,99,37,48,--,UCLA Bruins
,SEC,7,30,123,7,24,20,Kentucky Wildcats
,Big 12,36,31,71,33,67,--,UCF Knights
,SEC,31,32,11,59,41,--,Auburn Tigers
,Big 12,40,33,43,56,83,--,Texas Tech Red Raiders
,American,98,34,8,46,58,--,SMU Mustangs
,SEC,24,35,29,58,93,--,Arkansas Razorbacks
,SEC,18,36,38,68,44,--,Florida Gators
,SEC,28,37,106,23,15,21,Missouri Tigers
,Pac-12,20,38,93,3,6,13,Washington State Cougars
,Big Ten,68,39,22,52,26,--,Iowa Hawkeyes
,SEC,55,40,2,93,54,--,South Carolina Gamecocks
,Big 12,73,41,34,69,82,--,Cincinnati Bearcats
,Pac-12,19,42,41,70,60,--,California Golden Bears
,Big 12,39,43,6,64,11,--,West Virginia Mountaineers
,Big Ten,5,44,42,15,37,--,Rutgers Scarlet Knights
,Mountain West,100,45,131,12,32,--,Air Force Falcons
,SEC,52,46,15,97,70,--,Mississippi State Bulldogs
,American,84,47,82,19,46,--,Tulane Green Wave
,Mountain West,95,48,117,16,19,24,Fresno State Bulldogs
,Big Ten,13,49,69,62,63,--,Minnesota Golden Gophers
,Big 12,47,50,12,90,79,--,Iowa State Cyclones
,Big 12,48,51,28,40,34,--,Kansas Jayhawks
,ACC,59,52,65,55,61,--,NC State Wolfpack
,Big Ten,21,53,68,84,78,--,Purdue Boilermakers
,Big 12,50,54,88,83,64,--,Oklahoma State Cowboys
,Pac-12,51,55,66,81,68,--,Arizona Wildcats
,Big 12,8,56,78,41,35,--,BYU Cougars
,American,83,57,114,45,49,--,Memphis Tigers
,ACC,32,58,70,114,115,--,Pittsburgh Panthers
,Pac-12,64,59,1,112,29,--,Colorado Buffaloes
,Big Ten,3,60,53,89,86,--,Michigan State Spartans
,Sun Belt,77,61,130,51,31,--,Marshall Thundering Herd
,Mountain West,82,62,32,79,84,--,Boise State Broncos
,Big 12,44,63,74,98,91,--,Houston Cougars
,Big 12,63,64,25,103,77,--,Baylor Bears
,Sun Belt,89,65,85,22,45,--,Georgia Southern Eagles
,CUSA,117,66,133,9,36,--,Liberty Flames
,ACC,27,67,37,74,90,--,Georgia Tech Yellow Jackets
,Big Ten,72,68,47,76,75,--,Nebraska Cornhuskers
,ACC,11,69,132,65,72,--,Wake Forest Demon Deacons
,MAC,118,70,128,34,62,--,Toledo Rockets
,ACC,57,71,97,88,92,--,Virginia Tech Hokies
,Big Ten,67,72,19,128,71,--,Northwestern Wildcats
,Big Ten,70,73,36,119,96,--,Illinois Fighting Illini
,Sun Belt,105,74,77,85,101,--,Coastal Carolina Chanticleers
,Sun Belt,108,75,76,73,73,--,Troy Trojans
,Sun Belt,99,76,118,28,20,--,James Madison Dukes
,MAC,120,77,55,61,30,--,Miami (OH) RedHawks
,Sun Belt,103,78,75,77,74,--,Appalachian State Mountaineers
,American,97,79,63,122,97,--,UTSA Roadrunners
,Mountain West,80,80,23,63,28,--,Wyoming Cowboys
,Big Ten,23,81,7,108,85,--,Indiana Hoosiers
,FBS Indep.,69,82,83,42,80,--,Army Black Knights
,CUSA,121,83,14,53,59,--,Western Kentucky Hilltoppers
