RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Justin Jefferson,MIN,WR1
2,1,Christian McCaffrey,SF,RB1
3,1,Ja'Marr Chase,CIN,WR2
4,1,Austin Ekeler,LAC,RB2
5,2,Cooper Kupp,LAR,WR3
6,2,Travis Kelce,KC,TE1
7,2,Bijan Robinson,ATL,RB3
8,2,Tyreek Hill,MIA,WR4
9,2,Nick Chubb,CLE,RB4
10,2,Jonathan Taylor,IND,RB5
11,2,Saquon Barkley,NYG,RB6
12,3,Stefon Diggs,BUF,WR5
13,3,Tony Pollard,DAL,RB7
14,3,CeeDee Lamb,DAL,WR6
15,3,Derrick Henry,TEN,RB8
16,3,A.J. Brown,PHI,WR7
17,3,Davante Adams,LV,WR8
18,3,Amon-Ra St. Brown,DET,WR9
19,3,Josh Jacobs,LV,RB9
20,3,Garrett Wilson,NYJ,WR10
21,3,Rhamondre Stevenson,NE,RB10
22,3,Jaylen Waddle,MIA,WR11
23,4,Chris Olave,NO,WR12
24,4,Breece Hall,NYJ,RB11
25,4,Najee Harris,PIT,RB12
26,4,Mark Andrews,BAL,TE2
27,4,Tee Higgins,CIN,WR13
28,4,DeVonta Smith,PHI,WR14
29,4,Patrick Mahomes II,KC,QB1
30,4,Joe Mixon,CIN,RB13
31,4,Josh Allen,BUF,QB2
32,4,Jalen Hurts,PHI,QB3
33,4,Travis Etienne Jr.,JAC,RB14
34,4,DK Metcalf,SEA,WR15
35,4,Aaron Jones,GB,RB15
36,4,Jahmyr Gibbs,DET,RB16
37,4,Amari Cooper,CLE,WR16
38,5,Keenan Allen,LAC,WR17
39,5,Kenneth Walker III,SEA,RB17
40,5,Deebo Samuel,SF,WR18
41,5,J.K. Dobbins,BAL,RB18
42,5,T.J. Hockenson,MIN,TE3
43,5,Miles Sanders,CAR,RB19
44,5,Calvin Ridley,JAC,WR19
45,5,Lamar Jackson,BAL,QB4
46,5,Joe Burrow,CIN,QB5
47,5,DJ Moore,CHI,WR20
48,5,Cam Akers,LAR,RB20
49,5,Jerry Jeudy,DEN,WR21
50,5,Terry McLaurin,WAS,WR22
51,5,Drake London,ATL,WR23
52,6,Alexander Mattison,MIN,RB21
53,6,Dameon Pierce,HOU,RB22
54,6,DeAndre Hopkins,TEN,WR24
55,6,Christian Watson,GB,WR25
56,6,Chris Godwin,TB,WR26
57,6,Justin Fields,CHI,QB6
58,6,James Conner,ARI,RB23
59,6,George Kittle,SF,TE4
60,6,Justin Herbert,LAC,QB7
61,6,Tyler Lockett,SEA,WR27
62,6,Rachaad White,TB,RB24
63,6,Brandon Aiyuk,SF,WR28
64,6,Christian Kirk,JAC,WR29
65,6,Mike Williams,LAC,WR30
66,6,Kyle Pitts,ATL,TE5
67,6,David Montgomery,DET,RB25
68,6,Dallas Goedert,PHI,TE6
69,6,Isiah Pacheco,KC,RB26
70,6,Michael Pittman Jr.,IND,WR31
71,6,Diontae Johnson,PIT,WR32
72,6,Trevor Lawrence,JAC,QB8
73,6,D'Andre Swift,PHI,RB27
74,6,Marquise Brown,ARI,WR33
75,6,Javonte Williams,DEN,RB28
76,6,Mike Evans,TB,WR34
77,6,Alvin Kamara,NO,RB29
78,6,Darren Waller,NYG,TE7
79,7,Dalvin Cook,FA,RB30
80,7,James Cook,BUF,RB31
81,7,Jahan Dotson,WAS,WR35
82,7,Jordan Addison,MIN,WR36
83,7,Treylon Burks,TEN,WR37
84,7,AJ Dillon,GB,RB32
85,7,Antonio Gibson,WAS,RB33
86,7,George Pickens,PIT,WR38
87,7,Deshaun Watson,CLE,QB9
88,7,Brian Robinson Jr.,WAS,RB34
89,7,Jaxon Smith-Njigba,SEA,WR39
90,7,Dak Prescott,DAL,QB10
91,7,Khalil Herbert,CHI,RB35
92,7,Evan Engram,JAC,TE8
93,7,Pat Freiermuth,PIT,TE9
94,7,Gabe Davis,BUF,WR40
95,7,Rashaad Penny,PHI,RB36
96,7,Brandin Cooks,DAL,WR41
97,7,Tua Tagovailoa,MIA,QB11
98,7,Samaje Perine,DEN,RB37
99,7,Kadarius Toney,KC,WR42
100,8,Quentin Johnston,LAC,WR43
101,8,Courtland Sutton,DEN,WR44
102,8,David Njoku,CLE,TE10
103,8,Damien Harris,BUF,RB38
104,8,Jamaal Williams,NO,RB39
105,8,Rashod Bateman,BAL,WR45
106,8,Daniel Jones,NYG,QB12
107,8,Kirk Cousins,MIN,QB13
108,8,Elijah Moore,CLE,WR46
109,8,JuJu Smith-Schuster,NE,WR47
110,8,Zach Charbonnet,SEA,RB40
111,8,Michael Thomas,NO,WR48
112,8,Geno Smith,SEA,QB14
113,8,Jakobi Meyers,LV,WR49
114,8,Zay Flowers,BAL,WR50
115,8,Elijah Mitchell,SF,RB41
116,8,Dalton Schultz,HOU,TE11
117,8,Jerick McKinnon,KC,RB42
118,8,Aaron Rodgers,NYJ,QB15
119,8,Jameson Williams,DET,WR51
120,8,Chigoziem Okonkwo,TEN,TE12
121,8,Greg Dulcich,DEN,TE13
122,8,Allen Lazard,NYJ,WR52
123,8,Darnell Mooney,CHI,WR53
124,8,Jeff Wilson Jr.,MIA,RB43
125,8,Jared Goff,DET,QB16
126,8,Nico Collins,HOU,WR54
127,8,Tyler Allgeier,ATL,RB44
128,8,Devin Singletary,HOU,RB45
129,8,De'Von Achane,MIA,RB46
130,8,Russell Wilson,DEN,QB17
131,9,Skyy Moore,KC,WR55
132,9,D'Onta Foreman,CHI,RB47
133,9,Tyler Higbee,LAR,TE14
134,9,Zay Jones,JAC,WR56
135,9,Cole Kmet,CHI,TE15
136,9,Raheem Mostert,MIA,RB48
137,9,Tyler Boyd,CIN,WR57
138,9,Rondale Moore,ARI,WR58
139,9,Jaylen Warren,PIT,RB49
140,9,Anthony Richardson,IND,QB18
141,9,Odell Beckham Jr.,BAL,WR59
142,9,DJ Chark Jr.,CAR,WR60
143,9,Adam Thielen,CAR,WR61
144,9,Gerald Everett,LAC,TE16
145,9,Donovan Peoples-Jones,CLE,WR62
146,9,Michael Gallup,DAL,WR63
147,9,Romeo Doubs,GB,WR64
148,9,Kendre Miller,NO,RB50
149,9,Kenneth Gainwell,PHI,RB51
150,9,Matthew Stafford,LAR,QB19
151,9,Derek Carr,NO,QB20
152,9,Tank Bigsby,JAC,RB52
153,9,Juwan Johnson,NO,TE17
154,9,Rashid Shaheed,NO,WR65
155,9,Chuba Hubbard,CAR,RB53
156,9,Dalton Kincaid,BUF,TE18
157,9,Mike Gesicki,NE,TE19
158,9,Gus Edwards,BAL,RB54
159,9,K.J. Osborn,MIN,WR66
160,9,Alec Pierce,IND,WR67
161,9,Roschon Johnson,CHI,RB55
162,10,Kenny Pickett,PIT,QB21
163,10,Jerome Ford,CLE,RB56
164,10,Dawson Knox,BUF,TE20
165,10,Trey McBride,ARI,TE21
166,10,Hunter Renfrow,LV,WR68
167,10,Irv Smith Jr.,CIN,TE22
168,10,Isaiah Hodgins,NYG,WR69
169,10,Clyde Edwards-Helaire,KC,RB57
170,10,Curtis Samuel,WAS,WR70
171,10,Jordan Love,GB,QB22
172,10,Cordarrelle Patterson,ATL,RB58
173,10,Michael Carter,NYJ,RB59
174,10,Ezekiel Elliott,FA,RB60
175,10,Jonathan Mingo,CAR,WR71
176,10,Wan'Dale Robinson,NYG,WR72
177,10,Darius Slayton,NYG,WR73
178,10,Van Jefferson,LAR,WR74
179,10,Sam LaPorta,DET,TE23
180,10,Taysom Hill,NO,TE24
181,10,Marquez Valdes-Scantling,KC,WR75
182,10,John Metchie III,HOU,WR76
183,10,Zamir White,LV,RB61
184,10,Bryce Young,CAR,QB23
185,10,Chase Claypool,CHI,WR77
186,10,Tyquan Thornton,NE,WR78
187,10,Kyler Murray,ARI,QB24
188,10,DeVante Parker,NE,WR79
189,10,Hayden Hurst,CAR,TE25
190,10,Parris Campbell,NYG,WR80
191,10,San Francisco 49ers,SF,DST1
192,10,Noah Fant,SEA,TE26
193,10,Brock Purdy,SF,QB25
194,10,Dallas Cowboys,DAL,DST2
195,10,Buffalo Bills,BUF,DST3
196,10,Allen Robinson II,PIT,WR81
197,10,Philadelphia Eagles,PHI,DST4
198,10,Robert Woods,HOU,WR82
199,10,Hunter Henry,NE,TE27
200,10,Pierre Strong Jr.,NE,RB62
201,10,Joshua Palmer,LAC,WR83
202,11,Leonard Fournette,FA,RB63
203,11,Joshua Kelley,LAC,RB64
204,11,Mecole Hardman Jr.,NYJ,WR84
205,11,Jalin Hyatt,NYG,WR85
206,11,Justin Tucker,BAL,K1
207,11,Tim Patrick,DEN,WR86
208,11,New England Patriots,NE,DST5
209,11,New York Jets,NYJ,DST6
210,11,Zach Ertz,ARI,TE28
211,11,Rashee Rice,KC,WR87
212,11,Terrace Marshall Jr.,CAR,WR88
213,11,Ryan Tannehill,TEN,QB26
214,11,Baltimore Ravens,BAL,DST7
215,11,Denver Broncos,DEN,DST8
216,11,Tyler Bass,BUF,K2
