"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"at LAR","6.4","A+","19.0","+1.9","56% (9/16)","10%","Great"
"2","Nick Chubb",CLE,"at PIT","4.4","A+","16.8","+0.2","43% (7/16)","12%","Bad"
"3","Saquon Barkley",NYG,"at ARI","7.4","A+","16.7","-2.7","31% (5/16)","16%","Bad"
"4","Derrick Henry",TEN,"vs. LAC","5.0","A","16.3","+1.8","53% (8/15)","13%","Bad"
"5","Bijan Robinson",ATL,"vs. GB","8.8","A","16.1","+1.0","100% (1/1)","34%","Great"
"6","Tony Pollard",DAL,"vs. NYJ","7.4","A","15.8","+4.0","66% (10/15)","44%","Average"
"7","Travis Etienne Jr.",JAC,"vs. KC","5.4","A","15.5","-0.2","62% (10/16)","4%","Great"
"8","Josh Jacobs",LV,"at BUF","7.2","A","14.1","+2.7","56% (9/16)","18%","Bad"
"9","Joe Mixon",CIN,"vs. BAL","6.8","A-","13.6","-1.8","28% (4/14)","8%","Bad"
"10","Kenneth Walker III",SEA,"at DET","7.2","A-","13.5","+0.8","40% (6/15)","17%","Bad"
"11","Rhamondre Stevenson",NE,"vs. MIA","5.4","A-","13.3","-0.7","50% (8/16)","5%","Bad"
"12","David Montgomery",DET,"vs. SEA","7.2","B+","13.2","-0.9","46% (7/15)","24%","Great"
"13","Austin Ekeler",LAC,"at TEN","3.2","A","12.7","+1.3","52% (9/17)","41%","Bad"
"14","James Cook",BUF,"vs. LV","5.2","B+","12.2","+1.7","56% (9/16)","9%","Bad"
"15","Jahmyr Gibbs",DET,"vs. SEA","7.8","B+","12.2","-4.8","0% (0/1)","7%","Bad"
"16","Dameon Pierce",HOU,"vs. IND","5.4","B","12.1","-1.3","38% (5/13)","16%","Bad"
"17","Rachaad White",TB,"vs. CHI","4.8","B","12.1","-0.4","37% (6/16)","12%","Bad"
"18","Alexander Mattison",MIN,"at PHI","2.4","B","12.0","-0.3","37% (6/16)","37%","Bad"
"19","Aaron Jones",GB,"at ATL","2.6","B+","12.0","+0.3","50% (8/16)","34%","Great"
"20","Miles Sanders",CAR,"vs. NO","7.0","B","11.9","+0.1","37% (6/16)","13%","Bad"
"21","Najee Harris",PIT,"vs. CLE","8.6","B","11.8","-0.2","43% (7/16)","2%","Bad"
"22","James Conner",ARI,"vs. NYG","5.8","B","11.5","+0.4","46% (6/13)","20%","Bad"
"23","Jamaal Williams",NO,"at CAR","8.4","B-","11.5","+1.3","43% (7/16)","6%","Bad"
"24","Isiah Pacheco",KC,"at JAC","7.4","B-","11.2","-1.1","35% (6/17)","3%","Bad"
"25","Breece Hall",NYJ,"at DAL","6.2","C+","11.1","+6.3","100% (6/6)","3%","Bad"
"26","Javonte Williams",DEN,"vs. WAS","4.0","C+","10.6","-3.6","0% (0/3)","7%","Bad"
"27","Raheem Mostert",MIA,"at NE","2.2","C+","10.6","-0.1","53% (8/15)","19%","Average"
"28","Brian Robinson Jr.",WAS,"at DEN","6.4","C","10.5","+0.1","46% (6/13)","40%","Great"
"29","Tyler Allgeier",ATL,"vs. GB","8.2","C","10.5","+3.1","56% (9/16)","59%","Great"
"30","D'Andre Swift",PHI,"vs. MIN","7.0","C","10.2","-0.4","38% (5/13)","29%","Poor"
