"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at JAC","8.6","A+","9.9","-0.8","43% (7/16)","0%","N/A"
"2","Mark Andrews",BAL,"at CIN","2.6","A","9.6","-2.4","35% (5/14)","0%","N/A"
"3","T.J. Hockenson",MIN,"at PHI","6.8","A","8.9","+0.6","37% (6/16)","34%","Good"
"4","Darren Waller",NYG,"at ARI","6.0","A-","8.9","-1.8","37% (3/8)","16%","Bad"
"5","George Kittle",SF,"at LAR","6.8","B","8.6","+0.1","33% (5/15)","11%","Bad"
"6","Dallas Goedert",PHI,"vs. MIN","8.2","B","8.1","-0.3","45% (5/11)","1%","Bad"
"7","Evan Engram",JAC,"vs. KC","8.0","B","7.8","+1.6","56% (9/16)","2%","Bad"
"8","David Njoku",CLE,"at PIT","6.4","B-","7.5","+0.7","38% (5/13)","13%","Bad"
"9","Kyle Pitts",ATL,"vs. GB","8.0","C+","7.4","-2.0","30% (3/10)","7%","Bad"
"10","Pat Freiermuth",PIT,"vs. CLE","5.6","C+","7.4","-1.3","40% (6/15)","46%","Poor"
"11","Sam LaPorta",DET,"vs. SEA","6.4","C","7.3","+0.9","100% (1/1)","0%","N/A"
"12","Hunter Henry",NE,"vs. MIA","9.2","C","7.1","0.0","43% (7/16)","6%","Great"
"13","Tyler Higbee",LAR,"vs. SF","5.0","C-","7.1","-1.0","31% (5/16)","4%","Bad"
"14","Dalton Kincaid",BUF,"vs. LV","6.2","C-","7.1","-1.2","0% (0/1)","1%","Bad"
"15","Juwan Johnson",NO,"at CAR","5.0","D+","7.0","+2.0","53% (8/15)","3%","Bad"
"16","Luke Musgrave",GB,"at ATL","8.4","D+","6.4","+0.5","100% (1/1)","4%","Bad"
"17","Dalton Schultz",HOU,"vs. IND","9.0","D","6.3","-1.2","42% (6/14)","30%","Bad"
"18","Jake Ferguson",DAL,"vs. NYJ","6.0","D","6.2","+0.2","33% (5/15)","24%","Bad"
"19","Cole Kmet",CHI,"at TB","5.8","D","6.2","+0.9","37% (6/16)","12%","Bad"
"20","Hayden Hurst",CAR,"vs. NO","8.8","D-","6.1","+0.3","38% (5/13)","61%","Great"
"21","Gerald Everett",LAC,"at TEN","7.0","D","6.0","-2.2","31% (5/16)","0%","Bad"
"22","Chigoziem Okonkwo",TEN,"vs. LAC","7.8","D-","6.0","+0.7","50% (8/16)","7%","Bad"
"23","Zach Ertz",ARI,"vs. NYG","8.2","F","5.8","+0.7","55% (5/9)","32%","Bad"
"24","Irv Smith Jr.",CIN,"vs. BAL","5.8","F","5.8","+0.1","42% (3/7)","1%","N/A"
"25","Logan Thomas",WAS,"at DEN","4.8","F","5.7","-1.2","38% (5/13)","0%","N/A"
"26","Dawson Knox",BUF,"vs. LV","6.4","F","5.4","+0.2","46% (7/15)","0%","N/A"
"27","Cade Otton",TB,"vs. CHI","5.6","F","5.3","+0.4","46% (7/15)","13%","Bad"
"28","Taysom Hill",NO,"at CAR","5.4","F","5.3","+5.7","73% (11/15)","6%","Bad"
"29","Mike Gesicki",NE,"vs. MIA","8.6","F","4.5","+0.2","31% (5/16)","0%","N/A"
"30","Tyler Conklin",NYJ,"at DAL","6.6","F","4.2","0.0","43% (7/16)","0%","N/A"
"31","Noah Fant",SEA,"at DET","8.4","F","4.1","0.0","43% (7/16)","0%","N/A"
"32","Trey McBride",ARI,"vs. NYG","8.6","F","4.0","+0.2","31% (5/16)","0%","N/A"
"33","Isaiah Likely",BAL,"at CIN","2.4","F","3.9","0.0","40% (6/15)","0%","N/A"
"34","Adam Trautman",DEN,"vs. WAS","2.0","F","3.8","+0.2","50% (7/14)","10%","Bad"
"35","Michael Mayer",LV,"at BUF","7.2","F","3.7","-3.4","0% (0/1)","0%","N/A"
"36","Durham Smythe",MIA,"at NE","8.2","F","3.5","-0.3","33% (5/15)","17%","Bad"
"37","Kylen Granson",IND,"at HOU","-","F","3.5","+0.3","46% (6/13)","5%","Bad"
"38","Donald Parham Jr.",LAC,"at TEN","-","F","3.3","+0.6","50% (4/8)","14%","Great"
"39","Austin Hooper",LV,"at BUF","7.0","F","3.1","0.0","31% (5/16)","2%","Bad"
"40","Noah Gray",KC,"at JAC","8.0","F","3.0","+0.8","52% (9/17)","1%","Bad"
"41","Will Dissly",SEA,"at DET","-","F","2.9","+0.2","28% (4/14)","0%","N/A"
"42","Harrison Bryant",CLE,"at PIT","-","F","2.7","-0.5","43% (7/16)","0%","N/A"
"43","Mo Alie-Cox",IND,"at HOU","-","F","2.6","-1.4","6% (1/16)","2%","Bad"
"44","Jonnu Smith",ATL,"vs. GB","8.2","F","2.5","-1.0","50% (7/14)","0%","N/A"
"45","Josh Oliver",MIN,"at PHI","-","F","2.3","+0.6","37% (6/16)","3%","Bad"
"46","C.J. Uzomah",NYJ,"at DAL","-","F","2.2","+0.5","53% (8/15)","0%","N/A"
"47","Colby Parkinson",SEA,"at DET","-","F","2.2","-0.1","31% (5/16)","0%","N/A"
"48","Daniel Bellinger",NYG,"at ARI","5.4","F","2.1","+0.8","58% (7/12)","0%","N/A"
"49","Brock Wright",DET,"vs. SEA","-","F","2.0","+0.6","37% (6/16)","0%","N/A"
"50","Darnell Washington",PIT,"vs. CLE","-","F","1.9","-1.5","0% (0/1)","0%","N/A"
"51","Foster Moreau",NO,"at CAR","-","F","1.8","-0.2","40% (6/15)","0%","N/A"
"52","Greg Dulcich",DEN,"vs. WAS","3.2","F","1.7","-0.5","40% (4/10)","0%","N/A"
"53","Robert Tonyan",CHI,"at TB","6.8","F","1.6","-1.1","25% (4/16)","0%","N/A"
"54","Jordan Akins",CLE,"at PIT","-","F","1.5","+1.2","53% (8/15)","0%","N/A"
"55","Cole Turner",WAS,"at DEN","-","F","1.5","-0.9","22% (2/9)","9%","Bad"
"56","Peyton Hendershot",DAL,"vs. NYJ","-","F","1.5","+0.6","40% (6/15)","15%","Bad"
"57","Brycen Hopkins",LAR,"vs. SF","-","F","1.4","-0.1","38% (5/13)","0%","N/A"
"58","Blake Bell",KC,"at JAC","-","F","1.3","+0.3","33% (1/3)","27%","Great"
"59","Ko Kieft",TB,"vs. CHI","-","F","1.3","-0.3","37% (6/16)","15%","Bad"
"60","Connor Heyward",PIT,"vs. CLE","-","F","1.2","+0.1","37% (3/8)","23%","Bad"
"61","Luke Schoonmaker",DAL,"vs. NYJ","-","F","1.2","-1.8","0% (0/1)","0%","N/A"
"62","Teagan Quitoriano",HOU,"vs. IND","-","F","1.2","-0.5","27% (3/11)","1%","N/A"
"63","Andrew Ogletree",IND,"at HOU","-","F","1.2","-","-","0%","N/A"
"64","Tommy Tremble",CAR,"vs. NO","-","F","1.2","+0.1","31% (5/16)","0%","N/A"
"65","Chris Manhertz",DEN,"vs. WAS","-","F","1.2","-0.5","20% (3/15)","0%","N/A"
"66","John Bates",WAS,"at DEN","-","F","1.1","-0.9","20% (3/15)","0%","N/A"
"67","Tucker Kraft",GB,"at ATL","-","F","1.1","-2.2","0% (0/1)","0%","N/A"
"68","Jimmy Graham",NO,"at CAR","-","F","1.1","-1.2","0% (0/1)","0%","N/A"
"69","Luke Farrell",JAC,"vs. KC","-","F","1.1","-0.6","13% (2/15)","0%","N/A"
