"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"at NE","5.8","A+","17.1","+2.3","50% (8/16)","28%","Good"
"2","Justin Jefferson",MIN,"at PHI","7.6","A+","17.0","+0.4","56% (9/16)","9%","Bad"
"3","Ja'Marr Chase",CIN,"vs. BAL","5.0","A+","15.7","-2.7","25% (3/12)","16%","Bad"
"4","Amon-Ra St. Brown",DET,"vs. SEA","6.2","A+","15.2","-0.6","33% (5/15)","24%","Great"
"5","Stefon Diggs",BUF,"vs. LV","6.8","A+","14.7","-0.9","43% (7/16)","73%","Average"
"6","A.J. Brown",PHI,"vs. MIN","5.6","A+","14.7","+0.1","43% (7/16)","7%","Bad"
"7","Calvin Ridley",JAC,"vs. KC","6.4","A","14.3","+8.5","100% (1/1)","16%","Great"
"8","Chris Olave",NO,"at CAR","4.8","A","13.6","-0.3","42% (6/14)","4%","Bad"
"9","Davante Adams",LV,"at BUF","7.0","A","13.1","-0.4","37% (6/16)","8%","Bad"
"10","DeVonta Smith",PHI,"vs. MIN","5.8","A","13.1","+2.6","68% (11/16)","18%","Great"
"11","CeeDee Lamb",DAL,"vs. NYJ","6.0","A","12.9","+1.0","50% (8/16)","1%","Bad"
"12","Jaylen Waddle",MIA,"at NE","5.8","A","12.8","-0.2","43% (7/16)","1%","Bad"
"13","Keenan Allen",LAC,"at TEN","7.6","A","12.6","-1.7","50% (5/10)","5%","Bad"
"14","DK Metcalf",SEA,"at DET","7.4","A","12.5","-1.5","43% (7/16)","15%","Great"
"15","Brandon Aiyuk",SF,"at LAR","7.0","A-","12.3","+2.7","56% (9/16)","65%","Great"
"16","Tee Higgins",CIN,"vs. BAL","4.8","A-","12.0","-1.5","37% (6/16)","71%","Bad"
"17","Deebo Samuel",SF,"at LAR","6.8","A-","11.9","-2.8","25% (3/12)","11%","Bad"
"18","Amari Cooper",CLE,"at PIT","6.8","A-","11.8","+0.5","43% (7/16)","23%","Bad"
"19","Garrett Wilson",NYJ,"at DAL","6.8","A-","11.5","-0.4","31% (5/16)","59%","Great"
"20","Chris Godwin",TB,"vs. CHI","4.6","B+","11.2","-0.4","35% (5/14)","14%","Bad"
"21","Mike Evans",TB,"vs. CHI","4.6","B+","11.0","-0.3","40% (6/15)","19%","Great"
"22","Tyler Lockett",SEA,"at DET","6.8","B+","10.8","-0.1","53% (8/15)","60%","Bad"
"23","DeAndre Hopkins",TEN,"vs. LAC","6.4","B+","10.7","-0.8","40% (4/10)","35%","Bad"
"24","Mike Williams",LAC,"at TEN","8.2","B","10.7","-0.6","50% (6/12)","4%","Bad"
"25","DJ Moore",CHI,"at TB","6.8","B","10.5","-1.1","37% (6/16)","0%","Bad"
"26","Zay Flowers",BAL,"at CIN","6.2","B","10.4","+4.0","100% (1/1)","27%","Bad"
"27","Michael Pittman Jr.",IND,"at HOU","5.8","B","10.4","-1.6","33% (5/15)","19%","Great"
"28","Jahan Dotson",WAS,"at DEN","5.4","B-","10.2","+1.6","45% (5/11)","3%","Bad"
"29","George Pickens",PIT,"vs. CLE","5.8","B-","10.0","-0.1","56% (9/16)","9%","Bad"
"30","Terry McLaurin",WAS,"at DEN","4.4","B-","9.9","-1.7","37% (6/16)","14%","Bad"
"31","Michael Thomas",NO,"at CAR","3.6","B-","9.9","0.0","33% (1/3)","18%","Bad"
"32","Courtland Sutton",DEN,"vs. WAS","6.6","C+","9.5","-3.0","35% (5/14)","28%","Good"
"33","Gabe Davis",BUF,"vs. LV","6.4","C+","9.4","-1.6","26% (4/15)","12%","Bad"
"34","Jordan Addison",MIN,"at PHI","7.4","C+","9.3","+5.8","100% (1/1)","8%","Great"
"35","Christian Kirk",JAC,"vs. KC","6.4","C+","9.1","-1.7","31% (5/16)","0%","N/A"
"36","Drake London",ATL,"vs. GB","4.4","C+","9.1","-1.9","37% (6/16)","0%","N/A"
"37","Nico Collins",HOU,"vs. IND","3.6","C+","9.0","+1.0","60% (6/10)","26%","Bad"
"38","Puka Nacua",LAR,"vs. SF","5.8","C+","8.9","+10.5","100% (1/1)","7%","Bad"
"39","Marquise Brown",ARI,"vs. NYG","4.8","C","8.7","-0.6","27% (3/11)","17%","Bad"
"40","Elijah Moore",CLE,"at PIT","6.6","C","8.6","-2.0","20% (3/15)","31%","Bad"
"41","Zay Jones",JAC,"vs. KC","6.6","C","8.5","+2.5","46% (7/15)","34%","Good"
"42","Romeo Doubs",GB,"at ATL","6.0","C","8.5","-0.2","50% (6/12)","23%","Great"
"43","Jaxon Smith-Njigba",SEA,"at DET","6.6","C","8.4","-4.6","0% (0/1)","1%","Bad"
"44","Treylon Burks",TEN,"vs. LAC","6.0","C","8.4","-0.9","30% (3/10)","0%","N/A"
"45","Odell Beckham Jr.",BAL,"at CIN","6.2","C","8.4","-3.9","0% (0/1)","3%","Bad"
"46","Rashid Shaheed",NO,"at CAR","4.4","C","8.4","+4.2","75% (9/12)","36%","Average"
"47","Skyy Moore",KC,"at JAC","6.0","C","8.3","-1.8","31% (5/16)","8%","Bad"
"48","JuJu Smith-Schuster",NE,"vs. MIA","3.4","C-","8.1","-2.6","31% (5/16)","0%","Bad"
"49","Brandin Cooks",DAL,"vs. NYJ","6.0","C","8.0","-3.4","16% (2/12)","2%","Bad"
"50","Tyler Boyd",CIN,"vs. BAL","5.4","C-","7.9","-0.2","43% (7/16)","0%","N/A"
"51","Darnell Mooney",CHI,"at TB","7.2","C-","7.8","-0.7","50% (6/12)","32%","Good"
"52","Kadarius Toney",KC,"at JAC","6.4","C-","7.6","-2.3","33% (3/9)","29%","Bad"
"53","Van Jefferson",LAR,"vs. SF","7.0","C-","7.6","-1.1","36% (4/11)","0%","Bad"
"54","Jerry Jeudy",DEN,"vs. WAS","6.6","C","7.4","-0.3","46% (6/13)","0%","N/A"
"55","Allen Robinson II",PIT,"vs. CLE","5.6","D+","7.1","0.0","50% (5/10)","1%","Bad"
"56","Adam Thielen",CAR,"vs. NO","5.0","D+","7.1","-0.9","37% (6/16)","1%","Bad"
"57","Kendrick Bourne",NE,"vs. MIA","3.4","C-","7.0","+1.0","40% (6/15)","34%","Great"
"58","Jayden Reed",GB,"at ATL","6.0","D+","6.9","-1.8","0% (0/1)","2%","Bad"
"59","Robert Woods",HOU,"vs. IND","3.6","D","6.8","-1.8","43% (7/16)","10%","Bad"
"60","Jakobi Meyers",LV,"at BUF","6.8","C-","6.8","+2.0","46% (6/13)","45%","Good"
"61","Allen Lazard",NYJ,"at DAL","5.8","D","6.8","-1.0","40% (6/15)","3%","Bad"
"62","Rashod Bateman",BAL,"at CIN","5.4","D","6.7","-2.7","16% (1/6)","0%","Bad"
"63","Donovan Peoples-Jones",CLE,"at PIT","6.6","D","6.7","+0.5","68% (11/16)","3%","Bad"
"64","Rondale Moore",ARI,"vs. NYG","3.8","D","6.6","0.0","44% (4/9)","17%","Bad"
"65","Tutu Atwell",LAR,"vs. SF","5.4","D","6.5","+0.5","46% (6/13)","4%","Bad"
"66","Curtis Samuel",WAS,"at DEN","4.4","D-","6.4","-0.5","50% (8/16)","16%","Bad"
"67","Rashee Rice",KC,"at JAC","6.2","D-","6.4","+6.2","100% (1/1)","22%","Great"
"68","Marquez Valdes-Scantling",KC,"at JAC","6.2","D-","6.3","-2.1","35% (6/17)","1%","Bad"
"69","K.J. Osborn",MIN,"at PHI","7.2","D-","6.3","+1.7","43% (7/16)","8%","Great"
"70","Isaiah Hodgins",NYG,"at ARI","7.6","F","6.2","+3.1","50% (5/10)","1%","N/A"
"71","Christian Watson",GB,"at ATL","5.8","C-","6.1","+2.8","41% (5/12)","0%","N/A"
"72","Darius Slayton",NYG,"at ARI","7.6","F","6.0","-0.3","43% (7/16)","6%","Bad"
"73","Jonathan Mingo",CAR,"vs. NO","4.8","F","6.0","-5.1","0% (0/1)","6%","Bad"
"74","Quentin Johnston",LAC,"at TEN","7.4","F","5.9","-4.7","0% (0/1)","2%","Bad"
"75","Michael Gallup",DAL,"vs. NYJ","6.0","F","5.8","-1.4","28% (4/14)","1%","Bad"
"76","Josh Downs",IND,"at HOU","6.2","F","5.7","+0.8","100% (1/1)","18%","Bad"
"77","Josh Reynolds",DET,"vs. SEA","6.0","F","5.7","+0.5","46% (6/13)","16%","Bad"
"78","Marvin Mims Jr.",DEN,"vs. WAS","6.2","F","5.6","-5.9","0% (0/1)","0%","Bad"
"79","Parris Campbell",NYG,"at ARI","7.4","F","5.4","0.0","43% (7/16)","29%","Bad"
"80","Joshua Palmer",LAC,"at TEN","7.8","F","5.3","-0.6","31% (5/16)","0%","N/A"
"81","Alec Pierce",IND,"at HOU","6.4","F","5.2","-0.4","40% (6/15)","4%","Bad"
"82","Tank Dell",HOU,"vs. IND","3.6","F","5.2","-0.5","0% (0/1)","0%","N/A"
"83","Hunter Renfrow",LV,"at BUF","7.2","F","5.1","-2.6","10% (1/10)","0%","N/A"
"84","Michael Wilson",ARI,"vs. NYG","4.8","F","5.0","-1.3","0% (0/1)","7%","Bad"
"85","Marvin Jones Jr.",DET,"vs. SEA","6.2","F","5.0","-0.9","46% (7/15)","18%","Bad"
"86","Calvin Austin III",PIT,"vs. CLE","5.6","F","4.9","+5.0","100% (1/1)","0%","N/A"
"87","Terrace Marshall Jr.",CAR,"vs. NO","4.0","F","4.5","-0.4","38% (5/13)","5%","Bad"
"88","Jalin Hyatt",NYG,"at ARI","7.4","F","4.5","-3.9","0% (0/1)","0%","N/A"
"89","DeVante Parker",NE,"vs. MIA","4.6","F","4.5","-1.0","45% (5/11)","0%","N/A"
