"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"1","Josh Jacobs","LV","RB","17","340","1653","12","1097","57","15","323","62","53","400","0","392","103","6","2","393","2053","12","63","1200","4.86","3.23","0.17","4.4%","1.24","6.45","7.40","1.94","0.11","3.8%","5.22","0.16","3.05","4.3%","97.2","23.5","120.8","19.4","329.3","301.2","17.7"
"2","Derrick Henry","TEN","RB","16","349","1538","13","1131","64","15","155","40","33","398","0","405","131","4","6","382","1936","13","68","1262","4.41","3.24","0.18","4.3%","2.57","9.95","12.27","3.97","0.12","18.2%","5.07","0.18","3.30","5.5%","96.1","24.9","121.0","19.1","305.8","270.4","16.9"
"3","Saquon Barkley","NYG","RB","16","295","1312","10","793","60","18","299","73","57","338","0","439","168","9","2","352","1650","10","69","961","4.45","2.69","0.20","6.1%","1.13","4.63","7.70","2.95","0.16","3.5%","4.69","0.20","2.73","5.7%","82.0","21.1","103.1","17.8","284.0","284.3","17.8"
"4","Christian McCaffrey","CAR, SF","RB","17","244","1139","8","718","43","13","358","104","85","741","5","717","325","24","8","329","1880","13","67","1043","4.67","2.94","0.18","5.3%","2.07","7.13","8.44","3.82","0.28","9.4%","5.71","0.20","3.17","6.4%","67.0","43.6","110.6","21.0","356.4","316.6","18.6"
"5","Nick Chubb","CLV","RB","17","302","1525","12","1063","93","23","216","33","27","239","1","263","82","8","1","329","1764","13","101","1145","5.05","3.52","0.31","7.6%","1.11","7.24","9.74","3.04","0.30","3.7%","5.36","0.31","3.48","7.3%","89.7","14.1","103.8","16.6","282.4","227.4","13.4"
"6","Najee Harris","PIT","RB","17","272","1034","7","729","61","7","248","53","41","229","3","212","96","14","0","314","1263","10","75","825","3.80","2.68","0.22","2.6%","0.92","4.32","5.17","2.34","0.34","0.0%","4.02","0.24","2.63","2.2%","60.8","13.5","74.3","13.3","225.5","244.1","14.4"
"7","Austin Ekeler","LAC","RB","17","204","915","13","595","36","7","398","123","107","722","5","854","317","28","4","312","1637","18","64","912","4.49","2.92","0.18","3.4%","1.81","5.87","7.98","2.96","0.26","3.7%","5.25","0.21","2.92","3.5%","53.8","42.5","96.3","22.1","375.7","338.1","19.9"
"8","Dalvin Cook","MIN","RB","17","264","1173","8","823","56","12","342","52","39","295","2","336","83","11","2","303","1468","10","67","906","4.44","3.12","0.21","4.5%","0.86","5.67","8.62","2.13","0.28","5.1%","4.84","0.22","2.99","4.6%","69.0","17.4","86.4","14.2","241.8","257.8","15.2"
"9","Alvin Kamara","NO","RB","15","223","897","2","592","40","6","280","73","57","490","2","475","166","16","3","280","1387","4","56","758","4.02","2.65","0.18","2.7%","1.75","6.71","8.33","2.91","0.28","5.3%","4.95","0.20","2.71","3.2%","59.8","32.7","92.5","14.4","215.7","231.1","15.4"
"10","Rhamondre Stevenson","NE","RB","17","210","1040","5","703","61","16","304","87","69","421","1","514","181","24","3","279","1461","6","85","884","4.95","3.35","0.29","7.6%","1.38","4.84","7.45","2.62","0.35","4.3%","5.24","0.30","3.17","6.8%","61.2","24.8","85.9","14.7","250.1","264.0","15.5"
"11","Miles Sanders","PHI","RB","17","259","1269","11","661","66","12","198","26","20","78","0","103","22","5","0","279","1347","11","71","683","4.90","2.55","0.25","4.6%","0.39","3.00","5.15","1.10","0.25","0.0%","4.83","0.25","2.45","4.3%","74.6","4.6","79.2","12.9","218.7","203.2","12.0"
"12","Jamaal Williams","DET","RB","17","262","1066","17","698","31","7","103","16","12","73","0","68","34","2","0","274","1139","17","33","732","4.07","2.66","0.12","2.7%","0.71","4.56","5.67","2.83","0.17","0.0%","4.16","0.12","2.67","2.6%","62.7","4.3","67.0","13.4","227.9","219.0","12.9"
"13","Aaron Jones","GB","RB","17","213","1121","2","695","55","12","273","72","59","395","5","491","158","8","5","272","1516","7","63","853","5.26","3.26","0.26","5.6%","1.45","5.49","8.32","2.68","0.14","8.5%","5.57","0.23","3.14","6.3%","65.9","23.2","89.2","14.8","251.6","240.2","14.1"
"14","Joe Mixon","CIN","RB","14","210","814","7","548","18","6","264","70","60","441","2","478","176","12","4","270","1255","9","30","724","3.88","2.61","0.09","2.9%","1.67","6.30","7.97","2.93","0.20","6.7%","4.65","0.11","2.68","3.7%","58.1","31.5","89.6","17.1","239.5","262.6","18.8"
"15","Leonard Fournette","TB","RB","16","189","668","3","428","22","3","370","79","73","523","3","590","254","19","3","262","1191","6","41","682","3.53","2.26","0.12","1.6%","1.41","6.62","8.08","3.48","0.26","4.1%","4.55","0.16","2.60","2.3%","41.8","32.7","74.4","14.2","227.1","241.7","15.1"
"16","Travis Etienne","JAX","RB","17","220","1125","5","638","42","16","270","43","35","316","0","356","56","1","6","256","1441","5","43","694","5.11","2.90","0.19","7.3%","1.17","7.35","10.17","1.60","0.03","17.1%","5.63","0.17","2.71","8.6%","66.2","18.6","84.8","12.2","208.1","217.3","12.8"
"17","Kenneth Walker","SEA","RB","15","228","1050","9","558","53","17","198","34","27","165","0","223","69","9","2","255","1215","9","62","627","4.61","2.45","0.23","7.5%","0.83","4.85","8.26","2.56","0.33","7.4%","4.76","0.24","2.46","7.5%","70.0","11.0","81.0","13.5","202.5","184.9","12.3"
"18","Dameon Pierce","HST","RB","13","220","939","4","707","48","9","157","36","30","165","1","201","86","14","0","250","1104","5","62","793","4.27","3.21","0.22","4.1%","1.05","4.58","6.70","2.87","0.47","0.0%","4.42","0.25","3.17","3.6%","72.2","12.7","84.9","13.0","168.4","191.2","14.7"
"19","Ezekiel Elliott","DAL","RB","15","231","876","12","588","32","8","191","23","17","92","0","89","29","1","1","248","968","12","33","617","3.79","2.55","0.14","3.5%","0.48","4.00","5.24","1.71","0.06","5.9%","3.90","0.13","2.49","3.6%","58.4","6.1","64.5","12.4","185.8","190.4","12.7"
"20","David Montgomery","CHI","RB","16","201","801","5","561","62","3","201","39","34","316","1","293","120","11","5","235","1117","6","73","681","3.99","2.79","0.31","1.5%","1.57","8.10","8.62","3.53","0.32","14.7%","4.75","0.31","2.90","3.4%","50.1","19.8","69.8","11.2","179.7","179.8","11.2"
"21","Tony Pollard","DAL","RB","16","193","1007","9","741","37","17","211","50","39","371","3","350","65","2","3","232","1378","12","39","806","5.22","3.84","0.19","8.8%","1.76","7.42","8.97","1.67","0.05","7.7%","5.94","0.17","3.47","8.6%","62.9","23.2","86.1","15.6","248.8","192.0","12.0"
"22","James Conner","ARZ","RB","13","183","782","7","535","27","6","289","56","46","300","1","388","132","14","2","229","1082","8","41","667","4.27","2.92","0.15","3.3%","1.04","5.36","8.43","2.87","0.30","4.3%","4.72","0.18","2.91","3.5%","60.2","23.1","83.2","15.5","201.2","195.3","15.0"
"23","Tyler Allgeier","ATL","RB","16","210","1035","3","723","44","13","148","17","16","139","1","170","76","5","4","226","1174","4","49","799","4.93","3.44","0.21","6.2%","0.94","8.18","10.63","4.75","0.31","25.0%","5.19","0.22","3.54","7.5%","64.7","8.7","73.4","10.0","159.4","152.2","9.5"
"24","Jonathan Taylor","IND","RB","11","192","861","4","536","32","7","229","35","28","143","0","213","66","8","0","220","1004","4","40","602","4.48","2.79","0.17","3.6%","0.62","4.09","7.61","2.36","0.29","0.0%","4.56","0.18","2.74","3.2%","78.3","13.0","91.3","13.6","149.4","171.5","15.6"
"25","Devin Singletary","BUF","RB","16","177","819","5","474","34","13","312","47","38","280","1","245","88","9","1","215","1099","6","43","562","4.63","2.68","0.19","7.3%","0.90","5.96","6.45","2.32","0.24","2.6%","5.11","0.20","2.61","6.5%","51.2","17.5","68.7","11.3","180.9","181.9","11.4"
"26","Brian Robinson","WAS","RB","12","205","797","2","567","26","6","69","12","9","60","1","75","24","3","0","214","857","3","29","591","3.89","2.77","0.13","2.9%","0.87","5.00","8.33","2.67","0.33","0.0%","4.00","0.14","2.76","2.8%","66.4","5.0","71.4","9.4","112.7","138.9","11.6"
"27","A.J. Dillon","GB","RB","17","186","770","7","526","23","6","185","42","28","206","0","211","99","6","0","214","976","7","29","625","4.14","2.83","0.12","3.2%","1.11","4.90","7.54","3.54","0.21","0.0%","4.56","0.14","2.92","2.8%","45.3","12.1","57.4","9.9","167.6","184.4","10.8"
"28","Raheem Mostert","MIA","RB","16","181","891","3","594","42","9","240","38","31","202","2","194","87","12","2","212","1093","5","54","681","4.92","3.28","0.23","5.0%","0.84","5.32","6.26","2.81","0.39","6.5%","5.16","0.25","3.21","5.2%","55.7","12.6","68.3","10.6","169.3","170.2","10.6"
"29","D'Onta Foreman","CAR","RB","17","203","914","5","642","31","12","59","8","5","26","0","29","16","3","1","208","940","5","34","658","4.50","3.16","0.15","5.9%","0.44","3.25","5.80","3.20","0.60","20.0%","4.52","0.16","3.16","6.3%","53.8","1.5","55.3","7.7","131.0","133.2","7.8"
"30","Cam Akers","LA","RB","15","188","786","7","516","45","7","113","17","13","117","0","139","44","5","0","201","903","7","50","560","4.18","2.74","0.24","3.7%","1.04","6.88","10.69","3.38","0.38","0.0%","4.49","0.25","2.79","3.5%","52.4","7.8","60.2","9.6","143.3","139.3","9.3"
"31","Jeffery Wilson","SF, MIA","RB","16","176","860","5","475","32","13","209","36","22","185","1","165","39","3","0","198","1045","6","35","514","4.89","2.70","0.18","7.4%","0.89","5.14","7.50","1.77","0.14","0.0%","5.28","0.18","2.60","6.6%","53.8","11.6","65.3","10.0","160.5","166.3","10.4"
"32","Latavius Murray","DEN, NO","RB","13","171","760","6","465","24","7","170","31","27","132","0","193","59","3","0","198","892","6","27","524","4.44","2.72","0.14","4.1%","0.78","4.26","7.15","2.19","0.11","0.0%","4.51","0.14","2.65","3.5%","58.5","10.2","68.6","11.9","154.2","147.2","11.3"
"33","Antonio Gibson","WAS","RB","15","149","546","3","362","21","3","218","57","46","353","2","315","98","9","2","195","899","5","30","460","3.66","2.43","0.14","2.0%","1.62","6.19","6.85","2.13","0.20","4.3%","4.61","0.15","2.36","2.6%","36.4","23.5","59.9","11.1","165.9","196.0","13.1"
"34","Isiah Pacheco","KC","RB","17","170","830","5","504","26","8","117","13","13","130","0","162","46","3","1","183","960","5","29","550","4.88","2.96","0.15","4.7%","1.11","10.00","12.46","3.54","0.23","7.7%","5.25","0.16","3.01","4.9%","48.8","7.6","56.5","8.1","137.0","125.5","7.4"
"35","Rachaad White","TB","RB","17","129","481","1","317","12","4","239","57","50","290","2","323","123","9","1","180","771","3","21","440","3.73","2.46","0.09","3.1%","1.21","5.09","6.46","2.46","0.18","2.0%","4.28","0.12","2.44","2.8%","28.3","17.1","45.4","8.4","142.1","155.4","9.1"
"36","Cordarrelle Patterson","ATL","RB","13","144","695","8","446","33","10","137","30","21","122","0","122","31","5","0","165","817","8","38","477","4.83","3.10","0.23","6.9%","0.89","4.07","5.81","1.48","0.24","0.0%","4.95","0.23","2.89","6.1%","53.5","9.4","62.8","11.5","149.7","142.0","10.9"
"37","Kareem Hunt","CLV","RB","17","123","468","3","356","25","5","237","41","35","210","1","238","89","9","1","158","678","4","34","445","3.80","2.89","0.20","4.1%","0.89","5.12","6.80","2.54","0.26","2.9%","4.29","0.22","2.82","3.8%","27.5","12.4","39.9","7.5","126.8","147.2","8.7"
"38","Michael Carter","NYJ","RB","16","114","402","3","289","25","6","228","50","41","288","0","278","72","7","1","155","690","3","32","361","3.53","2.54","0.22","5.3%","1.26","5.76","6.78","1.76","0.17","2.4%","4.45","0.21","2.33","4.5%","25.1","18.0","43.1","7.9","127.0","146.2","9.1"
"39","D'Andre Swift","DET","RB","14","99","542","5","336","26","8","227","67","48","389","3","446","162","15","5","148","931","8","41","498","5.47","3.39","0.26","8.1%","1.71","5.81","9.29","3.38","0.31","10.4%","6.29","0.28","3.36","8.8%","38.7","27.8","66.5","13.7","191.1","178.4","12.7"
"40","Khalil Herbert","CHI","RB","13","129","731","4","481","38","7","83","11","9","57","1","84","22","2","2","138","788","5","40","503","5.67","3.73","0.29","5.4%","0.69","5.18","9.33","2.44","0.22","22.2%","5.71","0.29","3.64","6.5%","56.2","4.4","60.6","9.1","117.8","97.9","7.5"
