"Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","RTE","TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"1","Dallas Cowboys","17","701","647","444","4963","40","11","473","2119","15","3067","621","444","4963","40","2","4","6","38.9","661.4","351.5","309.9","740.3"
"2","Buffalo Bills","17","729","655","415","4450","36","16","461","2209","20","3219","596","415","4450","36","2","1","3","38.4","652.9","310.0","342.9","665.0"
"3","Tampa Bay Buccaneers","17","764","731","492","5383","43","12","385","1672","18","3429","696","492","5383","43","0","1","1","38.4","652.5","375.3","277.2","796.3"
"4","Philadelphia Eagles","17","579","494","307","3585","20","10","550","2715","25","2464","447","307","3585","20","3","2","5","37.9","644.9","219.4","425.5","484.5"
"5","Los Angeles Chargers","17","741","674","443","5014","38","15","423","1834","18","3262","635","443","5014","38","6","1","7","37.8","643.0","349.6","293.4","741.4"
"6","Indianapolis Colts","17","579","521","324","3588","27","8","499","2540","22","2571","484","324","3588","27","2","0","2","37.3","633.5","247.5","386.0","524.8"
"7","Kansas City Chiefs","17","751","675","448","4937","37","13","431","1955","16","3413","617","448","4937","37","1","1","2","36.9","628.0","334.5","293.5","717.7"
"8","Arizona Cardinals","17","662","591","415","4619","27","11","496","2076","23","2950","558","415","4619","27","0","0","0","36.9","627.4","281.8","345.6","623.9"
"9","San Francisco 49ers","17","565","514","343","4437","26","14","499","2166","22","2443","484","343","4437","26","1","1","2","36.5","620.1","269.5","350.6","601.7"
"10","New England Patriots","17","578","535","364","4098","24","13","489","2151","24","2553","510","364","4098","24","2","1","3","36.0","612.0","250.9","361.1","557.8"
"11","Tennessee Titans","17","601","535","359","3745","22","14","551","2404","23","2591","497","359","3745","22","1","1","2","35.7","606.2","225.8","380.4","508.5"
"12","Green Bay Packers","17","648","593","402","4526","39","7","446","1900","13","2574","560","402","4526","39","0","1","1","35.3","600.0","330.0","270.0","686.6"
"13","Baltimore Ravens","17","743","611","396","4267","21","18","517","2479","18","3333","569","396","4267","21","2","0","2","35.1","596.6","240.7","355.9","556.7"
"14","Cincinnati Bengals","17","630","555","384","4806","36","14","436","1742","16","2838","524","384","4806","36","1","0","1","35.0","594.4","324.2","270.2","698.6"
"15","Cleveland Browns","17","600","520","320","3619","21","14","485","2471","20","2655","483","320","3619","21","2","1","3","34.6","587.9","218.8","369.1","491.9"
"16","Seattle Seahawks","17","568","495","324","3815","30","7","413","2074","18","2474","461","324","3815","30","1","0","2","34.4","585.0","267.6","315.4","563.5"
"17","Los Angeles Rams","17","647","607","406","4893","41","18","420","1683","10","2878","584","406","4893","41","2","0","2","33.8","574.0","345.7","228.3","739.3"
"18","Minnesota Vikings","17","650","604","398","4450","34","7","449","1930","10","2708","561","398","4450","34","0","1","1","33.1","562.0","307.0","255.0","649.0"
"19","Denver Broncos","17","603","541","354","3856","20","9","455","2025","16","2739","502","354","3856","20","1","0","1","30.9","525.7","227.2","298.5","507.6"
"20","Las Vegas Raiders","17","686","628","429","4808","23","14","414","1617","14","2989","589","429","4808","23","0","0","0","30.4","516.0","270.3","245.7","618.8"
"21","New Orleans Saints","17","579","504","293","3437","29","13","510","1991","12","2481","449","293","3437","29","0","0","0","30.1","511.6","240.5","271.1","517.7"
"22","Washington Football Team","17","635","550","356","3746","21","15","477","2061","13","2770","509","355","3748","21","0","2","2","29.8","506.9","218.8","288.1","500.8"
"23","Detroit Lions","17","642","593","396","3884","23","14","427","1886","12","2867","553","396","3884","23","5","0","5","29.6","504.0","243.4","260.6","536.4"
"24","Chicago Bears","17","657","541","332","3635","16","20","475","2018","14","2892","502","332","3635","16","3","0","3","28.3","481.2","195.4","285.8","465.5"
"25","New York Jets","17","676","603","357","3959","20","20","380","1667","14","2980","559","357","3959","20","2","2","4","28.1","477.1","222.4","254.7","519.9"
"26","Carolina Panthers","17","681","599","348","3573","14","21","455","1842","17","2946","549","348","3573","14","3","0","3","27.7","470.1","183.9","286.2","447.3"
"27","Pittsburgh Steelers","17","708","664","425","4017","23","11","411","1583","10","3101","637","425","4017","23","2","0","2","27.3","464.0","245.7","218.3","543.7"
"28","Miami Dolphins","17","687","615","404","3936","21","14","442","1568","12","2906","588","404","3936","21","2","0","2","27.1","460.2","231.4","228.8","523.6"
"29","Atlanta Falcons","17","630","573","377","3987","20","15","393","1451","11","2743","532","377","3987","20","0","1","1","25.7","437.6","224.5","213.1","518.7"
"30","Jacksonville Jaguars","17","668","604","361","3674","12","17","392","1755","13","2990","559","361","3674","12","2","0","2","25.6","435.5","182.0","253.5","443.4"
"31","Houston Texans","17","615","546","354","3630","21","15","420","1422","8","2660","503","354","3630","21","1","1","2","24.0","408.4","216.2","192.2","491.0"
"32","New York Giants","17","665","593","351","3463","15","20","419","1688","8","2866","543","351","3463","15","1","3","4","23.7","403.3","180.5","222.8","438.3"
