"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"1","Michael Pittman","IND","WR","16","1020","1055","96.7%","378","404","93.6%","642","651","98.6%","32","34","94.1%","60","65","92.3%","137","145","94.5%","13.6","217.5"
"2","D.J. Moore","CAR","WR","17","941","976","96.4%","439","464","94.6%","502","512","98.0%","29","31","93.5%","52","54","96.3%","125","129","96.9%","11.7","199.1"
"3","Cooper Kupp","LA","WR","9","517","546","94.7%","176","187","94.1%","341","359","95.0%","22","23","95.7%","43","45","95.6%","75","79","94.9%","22.5","202.4"
"4","Davante Adams","LV","WR","17","990","1049","94.4%","372","403","92.3%","618","646","95.7%","24","33","72.7%","53","64","82.8%","117","133","88.0%","19.7","335.5"
"5","Cole Kmet","CHI","TE","17","936","993","94.3%","458","488","93.9%","478","505","94.7%","31","34","91.2%","57","61","93.4%","132","137","96.4%","8.7","147.3"
"6","Ja'Marr Chase","CIN","WR","12","751","800","93.9%","234","276","84.8%","517","524","98.7%","44","46","95.7%","67","70","95.7%","135","145","93.1%","20.4","244.4"
"7","Mack Hollins","LV","WR","17","978","1049","93.2%","370","403","91.8%","608","646","94.1%","24","33","72.7%","53","64","82.8%","120","133","90.2%","9.1","154.2"
"8","Justin Jefferson","MIN","WR","17","1033","1123","92.0%","340","390","87.2%","693","733","94.5%","46","53","86.8%","92","102","90.2%","176","189","93.1%","21.7","368.7"
"9","DeVonta Smith","PHI","WR","17","1031","1124","91.7%","429","499","86.0%","602","625","96.3%","51","55","92.7%","93","98","94.9%","179","191","93.7%","15.0","255.6"
"10","Dallas Goedert","PHI","TE","12","711","780","91.2%","308","341","90.3%","403","439","91.8%","33","38","86.8%","64","70","91.4%","132","138","95.7%","11.9","142.2"
"11","Gabe Davis","BUF","WR","15","883","972","90.8%","306","356","86.0%","577","616","93.7%","41","43","95.3%","72","75","96.0%","152","166","91.6%","11.5","172.6"
"12","Brandon Aiyuk","SF","WR","17","950","1047","90.7%","421","491","85.7%","529","556","95.1%","45","56","80.4%","82","95","86.3%","158","178","88.8%","13.5","228.8"
"13","Allen Robinson","LA","WR","10","550","608","90.5%","185","213","86.9%","365","395","92.4%","23","23","100.0%","46","46","100.0%","82","83","98.8%","8.5","84.9"
"14","Marquise Brown","ARZ","WR","12","738","817","90.3%","250","284","88.0%","488","533","91.6%","23","25","92.0%","37","42","88.1%","77","88","87.5%","13.0","156.0"
"15","George Kittle","SF","TE","15","822","910","90.3%","352","413","85.2%","470","497","94.6%","38","45","84.4%","69","78","88.5%","128","150","85.3%","13.4","201.5"
"16","Allen Lazard","GB","WR","15","832","927","89.8%","342","395","86.6%","490","532","92.1%","28","36","77.8%","54","63","85.7%","130","143","90.9%","11.7","174.8"
"17","Terry McLaurin","WAS","WR","17","1019","1140","89.4%","434","510","85.1%","585","630","92.9%","39","41","95.1%","78","82","95.1%","138","159","86.8%","13.5","229.0"
"18","Diontae Johnson","PIT","WR","17","989","1109","89.2%","374","468","79.9%","615","641","95.9%","19","38","50.0%","53","73","72.6%","126","153","82.4%","10.6","180.7"
"19","Donovan Peoples-Jones","CLV","WR","17","995","1116","89.2%","425","497","85.5%","570","619","92.1%","25","35","71.4%","60","72","83.3%","146","167","87.4%","9.5","162.1"
"20","Adam Thielen","MIN","WR","17","999","1123","89.0%","322","390","82.6%","677","733","92.4%","37","53","69.8%","83","102","81.4%","160","189","84.7%","10.6","180.0"
