"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"1","Stefon Diggs","BUF","WR","17","623","156","0.25","85.5%","1.97","489","78.5%","36.4%","130","0.27","67.1%","2.04","132","21.2%","11.6%","25","0.19","18.1%","1.69","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.3%","0.4%","1","0.50","0.3%","2.00"
"2","Marquise Brown","BLT","WR","16","620","141","0.23","88.7%","1.63","428","69.0%","33.3%","88","0.21","61.2%","1.38","191","30.8%","16.4%","51","0.27","27.3%","2.16","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","1","1.00","0.1%","3.00"
"3","Keenan Allen","LAC","WR","16","615","148","0.24","87.1%","1.85","215","35.0%","16.9%","67","0.31","30.5%","2.33","395","64.2%","37.8%","77","0.19","55.9%","1.57","4","0.7%","1.4%","2","0.50","0.6%","2.25","1","0.2%","0.2%","1","1.00","0.1%","7.00"
"4","Justin Jefferson","MIN","WR","17","613","164","0.27","94.3%","2.64","421","68.7%","36.9%","120","0.29","64.8%","2.82","187","30.5%","25.2%","42","0.22","28.8%","2.25","0","0.0%","0.0%","0","0.00","0.0%","0.00","5","0.8%","1.2%","1","0.20","0.8%","1.80"
"5","Mark Andrews","BLT","TE","17","609","151","0.25","82.0%","2.23","94","15.4%","6.9%","19","0.20","12.7%","2.54","388","63.7%","31.3%","105","0.27","52.2%","2.24","125","20.5%","42.8%","27","0.22","16.8%","2.03","2","0.3%","0.5%","0","0.00","0.3%","0.00"
"6","D.J. Moore","CAR","WR","17","605","158","0.26","88.8%","1.91","485","80.2%","38.8%","119","0.25","71.2%","1.93","113","18.7%","11.2%","35","0.31","16.6%","1.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","1.2%","1.6%","4","0.57","1.0%","4.29"
"7","Diontae Johnson","PIT","WR","16","602","166","0.28","93.3%","1.93","561","93.2%","46.9%","154","0.27","87.0%","1.99","41","6.8%","4.9%","10","0.24","6.4%","1.12","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"8","Robby Anderson","CAR","WR","17","601","105","0.17","88.3%","0.86","374","62.2%","29.9%","65","0.17","54.9%","0.73","227","37.8%","22.5%","40","0.18","33.3%","1.08","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"9","Marvin Jones","JAX","WR","17","600","117","0.20","89.8%","1.39","431","71.8%","35.1%","86","0.20","64.5%","1.36","168","28.0%","15.5%","30","0.18","25.1%","1.42","1","0.2%","0.4%","1","1.00","0.1%","8.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"10","Cooper Kupp","LA","WR","17","591","186","0.31","91.3%","3.29","196","33.2%","16.3%","59","0.30","30.3%","2.53","380","64.3%","36.1%","118","0.31","58.7%","3.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","15","2.5%","4.4%","9","0.60","2.3%","3.87"
"11","Travis Kelce","KC","TE","16","590","130","0.22","82.1%","1.91","158","26.8%","12.0%","30","0.19","22.0%","1.64","282","47.8%","24.2%","63","0.22","39.2%","1.95","149","25.3%","53.2%","35","0.23","20.7%","1.91","1","0.2%","0.2%","1","1.00","0.1%","19.00"
"12","Darnell Mooney","CHI","WR","17","590","132","0.22","89.8%","1.79","321","54.4%","26.8%","70","0.22","48.9%","1.65","265","44.9%","25.7%","60","0.23","40.3%","1.78","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","0.7%","0.9%","0","0.00","0.6%","0.00"
"13","Mike Evans","TB","WR","16","589","112","0.19","80.5%","1.76","388","65.9%","29.6%","86","0.22","53.0%","1.96","201","34.1%","19.2%","26","0.13","27.5%","1.36","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"14","Tyreek Hill","KC","WR","17","574","159","0.28","76.4%","2.16","259","45.1%","18.8%","76","0.29","34.5%","2.19","312","54.4%","25.6%","79","0.25","41.5%","2.10","3","0.5%","1.0%","3","1.00","0.4%","5.67","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"15","Jaylen Waddle","MIA","WR","16","571","139","0.24","87.0%","1.78","215","37.7%","18.4%","55","0.26","32.8%","2.33","349","61.1%","33.6%","81","0.23","53.2%","1.43","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","1.2%","2.0%","3","0.43","1.1%","2.29"
