"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Drew Brees","QB","FA","20.5","12.9","31.8","32.7","19.3","16.5","-","33.2","19.2","31.7","14.1","18.5","7.8","28.8","20.5","12.1","38","22.4","357.7"
"2","LeSean McCoy","RB","FA","25.4","19.2","21.8","9.9","18.2","16.1","11.1","8.5","16","16.6","29","-","14","34.6","13.1","31.2","19.9","19","304.6"
"3","Cam Newton","QB","FA","12.8","16.7","29.4","-","6.8","30.7","14.8","27.8","18.2","6.3","26.6","20.1","27.3","15.2","16.1","9.8","19.2","18.6","297.7"
"4","Andy Dalton","QB","CAR","15.5","16.2","13.7","5.5","9","25.2","27.5","31","6.7","15.2","11.7","-","10.5","30.1","19.2","31.5","19.5","18","288"
"5","Philip Rivers","QB","FA","23.6","29.9","10.5","26","18.4","13.4","15.8","-","19","13.4","14.5","27.8","12.5","20","15.5","7.7","19.4","18","287.4"
"6","Matthew Stafford","QB","LAR","20","17.2","21.6","16.5","14.4","24.5","26.3","26.7","-","18.7","22.9","16.5","20","5.9","8.3","6.8","12.7","17.4","278.9"
"7","Josh Gordon","WR","FA","-","-","27.8","9.1","16.6","16.1","3.1","21.7","6.9","-","21","36.7","43.1","28","14.2","14.9","11.7","19.4","270.9"
"8","Russell Wilson","QB","DEN","15.5","11","21.5","10.6","22.6","16.4","20.3","15.2","22.3","21.5","18.6","-","29.1","10.2","15.2","9.5","10.8","16.9","270.2"
"9","Jimmy Graham","TE","FA","12.5","28.9","29.9","24","18.5","0","-","17.2","28.1","8.4","7.1","18.5","11.7","20.8","3.5","15.8","15.6","16.3","260.5"
"10","Nick Foles","QB","FA","-","0","-","6","16","30","5.7","-","45.2","22.9","22.6","-","23.7","19.5","33.2","18.9","16","20","259.7"
"11","Ben Roethlisberger","QB","FA","7.6","12.6","16.9","15.3","-","15.7","12.9","11.1","25.9","10.2","31.9","16.4","19.4","25.3","9.6","20","8.1","16.2","258.8"
"12","A.J. Green","WR","FA","32.7","7.1","12.6","8.6","8.6","19.3","24.5","13","18.3","25.1","1.7","-","16.8","16.2","13.8","25.2","14.1","16.1","257.6"
"13","Marshawn Lynch","RB","FA","6.2","33","6.9","19.8","11.2","29.5","15.9","3.2","16.1","23.6","25.3","-","7.2","13.2","21","8.6","16.6","16.1","257.3"
"14","Antonio Brown","WR","FA","10","8.7","36.1","15.8","-","13.7","8.3","12.9","15.6","13.4","29.4","17.4","8.4","22.3","15.2","13.5","13.2","15.9","253.9"
