"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"1","Jonathan Taylor","IND","RB","17","332","1811","106.5","5.45","18","3","107","6.9%","700","38.7%","81.1%","5.4%","41.0%","81.0%","60.5%","38.3%","15.1%","4.2%","2.4%","66","0.20","1150","3.46","63.5%","1.99","215","64.8%","1235","12","5.74","57.7%","112","33.7%","503","6","4.49","49.1%","22.1","375.1","313.7","18.5"
"2","Nick Chubb","CLV","RB","14","228","1259","89.9","5.52","8","2","61","7.5%","454","36.1%","55.0%","3.5%","45.2%","86.0%","58.8%","39.5%","18.0%","5.3%","1.8%","57","0.25","864","3.79","68.6%","1.73","85","37.3%","447","3","5.26","43.5%","142","62.3%","812","5","5.72","52.8%","15.5","216.3","184.9","13.2"
"3","Joe Mixon","CIN","RB","16","292","1205","75.3","4.13","13","1","60","4.1%","256","21.2%","71.4%","4.5%","46.9%","84.6%","56.8%","34.2%","8.9%","2.1%","0.3%","52","0.18","858","2.94","71.2%","1.19","188","64.4%","801","6","4.26","49.5%","104","35.6%","404","7","3.88","51.0%","18.1","288.9","266.3","16.6"
"4","Najee Harris","PIT","RB","17","307","1200","70.6","3.91","7","0","62","2.9%","202","16.8%","64.7%","2.3%","48.9%","83.4%","56.4%","31.9%","9.1%","2.0%","0.7%","70","0.23","901","2.93","75.1%","0.97","177","57.7%","790","2","4.46","50.8%","127","41.4%","395","5","3.11","43.3%","17.7","300.7","333.3","19.6"
"5","Dalvin Cook","MIN","RB","13","249","1159","89.2","4.65","6","3","57","7.6%","436","37.6%","88.2%","2.4%","46.0%","75.5%","56.2%","34.5%","14.5%","3.6%","1.2%","49","0.20","639","2.57","55.1%","2.09","173","69.5%","775","2","4.48","45.7%","74","29.7%","380","4","5.14","47.3%","16.0","208.3","216.5","16.7"
"6","Antonio Gibson","WAS","RB","16","258","1037","64.8","4.02","7","5","65","4.7%","225","21.7%","60.7%","2.7%","38.4%","82.6%","58.9%","37.2%","9.3%","1.6%","0.0%","35","0.14","655","2.54","63.2%","1.35","182","70.5%","798","7","4.38","51.1%","73","28.3%","242","0","3.32","38.4%","14.6","233.1","217.8","13.6"
"7","Ezekiel Elliott","DAL","RB","17","237","1002","58.9","4.23","10","1","55","2.5%","147","14.7%","60.9%","4.2%","40.9%","85.7%","59.9%","34.6%","10.1%","1.3%","0.4%","30","0.13","632","2.67","63.1%","1.56","137","57.8%","544","4","3.97","51.1%","95","40.1%","444","5","4.67","51.6%","14.9","253.1","260.7","15.3"
"8","Elijah Mitchell","SF","RB","11","207","963","87.5","4.65","5","0","47","3.9%","220","22.8%","41.7%","2.4%","46.9%","82.1%","55.1%","38.2%","14.0%","2.9%","1.4%","37","0.18","667","3.22","69.3%","1.43","138","66.7%","754","4","5.46","52.9%","69","33.3%","209","1","3.03","43.5%","15.0","165.0","141.8","12.9"
"9","Derrick Henry","TEN","RB","8","219","937","117.1","4.28","10","1","49","4.1%","264","28.2%","75.0%","4.6%","48.9%","81.7%","52.5%","28.3%","9.1%","1.4%","0.9%","44","0.20","695","3.17","74.2%","1.11","122","55.7%","450","5","3.69","41.8%","97","44.3%","487","5","5.02","48.5%","24.2","193.3","174.3","21.8"
"10","Damien Harris","NE","RB","15","202","929","61.9","4.60","15","2","55","5.9%","317","34.1%","72.7%","7.4%","42.6%","84.2%","56.9%","35.6%","10.9%","4.0%","2.0%","37","0.18","492","2.44","53.0%","2.16","42","20.8%","170","2","4.05","50.0%","158","78.2%","743","12","4.70","55.1%","14.1","212.1","169.2","11.3"
