"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"1","Najee Harris","PIT","RB","17","933","1113","83.8%","307","411","74.7%","404","708","57.1%","94","637","14.2%","333.3","1380.7","24.1%","19.6","17.7","300.7"
"2","Jonathan Taylor","IND","RB","17","731","1052","69.5%","332","499","66.5%","248","579","42.8%","50","484","9.6%","313.7","1220.3","25.7%","18.5","22.1","375.1"
"3","Austin Ekeler","LAC","RB","16","689","1071","64.3%","206","402","51.2%","377","701","53.8%","91","603","14.2%","282.4","1338.8","21.1%","17.6","21.7","346.8"
"4","Joe Mixon","CIN","RB","16","675","995","67.8%","292","418","69.9%","274","597","45.9%","49","495","9.3%","266.3","1151.2","23.1%","16.6","18.1","288.9"
"5","Ezekiel Elliott","DAL","RB","17","774","1153","67.1%","237","473","50.1%","381","701","54.4%","64","621","9.9%","260.7","1426.7","18.3%","15.3","14.9","253.1"
"6","Leonard Fournette","TB","RB","14","601","945","63.6%","180","313","57.5%","351","641","54.8%","83","584","13.6%","253.5","1259.1","20.1%","18.1","18.3","255.6"
"7","Alvin Kamara","NO","RB","13","609","802","75.9%","240","416","57.7%","258","418","61.7%","65","320","18.2%","250.0","803.2","31.1%","19.2","18.1","234.7"
"8","Josh Jacobs","LV","RB","15","593","937","63.3%","217","354","61.3%","264","600","44.0%","64","516","11.7%","218.0","1084.9","20.1%","14.5","15.2","228.0"
"9","Antonio Gibson","WAS","RB","16","571","1009","56.6%","258","455","56.7%","203","594","34.2%","52","478","10.1%","217.8","1064.6","20.5%","13.6","14.6","233.1"
"10","David Montgomery","CHI","RB","13","614","825","74.4%","225","347","64.8%","268","516","51.9%","49","400","11.3%","217.8","924.9","23.5%","16.8","15.2","197.0"
"11","Dalvin Cook","MIN","RB","13","574","812","70.7%","249","338","73.7%","232","485","47.8%","48","416","10.6%","216.5","891.4","24.3%","16.7","16.0","208.3"
"12","D'Andre Swift","DET","RB","13","526","793","66.3%","151","312","48.4%","301","492","61.2%","77","421","17.0%","216.4","924.1","23.4%","16.6","16.1","209.9"
"13","Javonte Williams","DEN","RB","17","531","1036","51.3%","203","455","44.6%","259","603","43.0%","51","502","9.4%","214.2","1204.1","17.8%","12.6","12.1","205.9"
"14","Myles Gaskin","MIA","RB","17","550","1097","50.1%","173","442","39.1%","247","687","36.0%","63","588","10.2%","212.1","1337.1","15.9%","12.5","10.3","174.6"
"15","James Conner","ARZ","RB","15","570","990","57.6%","202","443","45.6%","219","577","38.0%","40","484","7.9%","204.5","1159.5","17.6%","13.6","17.2","257.7"
"16","Aaron Jones","GB","RB","15","557","952","58.5%","171","400","42.8%","280","571","49.0%","64","494","12.2%","198.8","1061.7","18.7%","13.3","15.3","230.0"
"17","Cordarrelle Patterson","ATL","RB","16","458","954","48.0%","153","377","40.6%","229","594","38.6%","63","501","11.6%","196.2","1103.1","17.8%","12.3","14.7","234.6"
"18","Darrel Williams","KC","RB","17","540","1134","47.6%","144","431","33.4%","318","751","42.3%","54","617","8.0%","192.9","1409.3","13.7%","11.3","11.5","196.0"
"19","Melvin Gordon","DEN","RB","16","489","964","50.7%","203","424","47.9%","228","559","40.8%","33","470","6.6%","188.2","1130.7","16.6%","11.8","12.4","198.1"
"20","Devin Singletary","BUF","RB","17","685","1143","59.9%","188","461","40.8%","323","729","44.3%","47","596","7.2%","187.7","1418.9","13.2%","11.0","11.6","197.8"
"21","Nick Chubb","CLV","RB","14","461","874","52.7%","228","413","55.2%","170","487","34.9%","25","392","5.9%","184.9","966.8","19.1%","13.2","15.5","216.3"
"22","James Robinson","JAX","RB","14","498","861","57.8%","164","317","51.7%","238","571","41.7%","44","476","8.5%","179.8","1030.8","17.4%","12.8","12.6","175.9"
"23","Michael Carter","NYJ","RB","14","428","855","50.1%","147","312","47.1%","200","559","35.8%","51","461","10.2%","176.1","1011.5","17.4%","12.6","11.1","155.4"
"24","Saquon Barkley","NYG","RB","13","494","800","61.8%","162","319","50.8%","229","509","45.0%","57","413","12.5%","175.9","907.4","19.4%","13.5","11.5","149.6"
"25","Sony Michel","LA","RB","17","520","1058","49.1%","208","420","49.5%","237","647","36.6%","32","584","5.3%","175.8","1326.1","13.3%","10.3","8.7","147.3"
"26","Derrick Henry","TEN","RB","8","392","549","71.4%","219","260","84.2%","94","299","31.4%","20","241","7.5%","174.3","600.4","29.0%","21.8","24.2","193.3"
"27","Mike Davis","ATL","RB","17","561","1006","55.8%","138","393","35.1%","296","630","47.0%","55","532","9.6%","173.5","1158.0","15.0%","10.2","8.3","141.2"
"28","Damien Harris","NE","RB","15","394","925","42.6%","202","436","46.3%","104","503","20.7%","20","443","4.3%","169.2","1063.5","15.9%","11.3","14.1","212.1"
"29","Darrell Henderson","LA","RB","12","491","755","65.0%","149","301","49.5%","250","463","54.0%","39","417","9.0%","162.3","946.8","17.1%","13.5","13.6","163.4"
"30","A.J. Dillon","GB","RB","17","459","1072","42.8%","187","446","41.9%","161","648","24.8%","37","560","6.2%","160.2","1206.2","13.3%","9.4","11.0","186.6"
"31","Devontae Booker","NYG","RB","16","487","986","49.4%","145","392","37.0%","225","623","36.1%","45","510","8.1%","155.0","1112.2","13.9%","9.7","9.0","144.1"
"32","Chase Edmonds","ARZ","RB","12","452","796","56.8%","116","358","32.4%","247","455","54.3%","52","387","12.5%","149.0","908.9","16.4%","12.4","12.0","144.3"
"33","Chuba Hubbard","CAR","RB","17","451","1106","40.8%","172","455","37.8%","151","681","22.2%","33","549","5.5%","146.5","1210.1","12.1%","8.6","8.2","138.6"
"34","Mark Ingram","NO, HST","RB","14","377","847","44.5%","160","352","45.5%","138","514","26.8%","31","417","6.7%","144.2","959.7","15.0%","10.3","7.8","109.6"
"35","Devonta Freeman","BLT","RB","16","502","1118","44.9%","133","483","27.5%","272","704","38.6%","39","541","6.7%","143.0","1244.5","11.5%","8.9","9.2","146.6"
"36","Elijah Mitchell","SF","RB","11","426","660","64.5%","207","331","62.5%","137","340","40.3%","20","293","6.4%","141.8","681.9","20.8%","12.9","15.0","165.0"
"37","Tony Pollard","DAL","RB","15","339","1014","33.4%","130","406","32.0%","136","626","21.7%","44","556","7.6%","138.9","1263.6","11.0%","9.3","10.4","156.6"
"38","Jamaal Williams","DET","RB","13","308","806","38.2%","153","315","48.6%","100","502","19.9%","28","438","6.0%","133.0","952.3","14.0%","10.2","9.2","119.8"
"39","Miles Sanders","PHI","RB","12","405","761","53.2%","137","359","38.2%","159","441","36.1%","33","340","8.7%","130.6","874.8","14.9%","10.9","9.9","118.2"
"40","Alexander Mattison","MIN","RB","16","360","1022","35.2%","134","416","32.2%","174","620","28.1%","39","539","6.7%","130.0","1152.1","11.3%","8.1","7.9","126.9"
"41","Rex Burkhead","HST","RB","16","361","954","37.8%","122","396","30.8%","182","583","31.2%","31","477","6.0%","127.5","1062.3","12.0%","8.0","6.5","104.3"
"42","Ty Johnson","NYJ","RB","16","377","982","38.4%","61","356","17.1%","245","643","38.1%","53","538","9.2%","127.2","1175.8","10.8%","7.9","7.4","118.0"
"43","Christian McCaffrey","CAR","RB","7","261","436","59.9%","99","192","51.6%","115","251","45.8%","40","209","17.3%","123.2","478.6","25.7%","17.6","18.2","127.5"
"44","Nyheim Hines","IND","RB","17","322","1052","30.6%","56","499","11.2%","197","579","34.0%","53","484","10.2%","118.3","1220.3","9.7%","7.0","6.7","114.6"
"45","Kenneth Gainwell","PHI","RB","16","283","998","28.4%","68","500","13.6%","171","548","31.2%","46","427","9.8%","117.6","1120.9","10.5%","7.3","7.8","124.4"
"46","Zack Moss","BUF","RB","13","359","861","41.7%","96","358","26.8%","163","541","30.1%","31","450","6.4%","114.8","1097.8","10.5%","8.8","8.2","106.2"
"47","Rhamondre Stevenson","NE","RB","12","253","737","34.3%","133","381","34.9%","71","363","19.6%","18","322","5.3%","114.2","815.1","14.0%","9.5","9.7","115.9"
"48","Ameer Abdullah","MIN, CAR","RB","17","305","1113","27.4%","51","455","11.2%","183","684","26.8%","49","558","8.0%","106.2","1214.4","8.7%","6.2","5.3","89.5"
"49","J.D. McKissic","WAS","RB","11","326","717","45.5%","48","324","14.8%","220","428","51.4%","50","345","13.6%","105.7","818.4","12.9%","9.6","11.6","127.9"
"50","Clyde Edwards-Helaire","KC","RB","10","325","640","50.8%","119","261","45.6%","146","408","35.8%","22","332","6.1%","102.1","773.0","13.2%","10.2","12.0","119.6"
"51","D'Ernest Johnson","CLV","RB","15","314","930","33.8%","100","424","23.6%","147","533","27.6%","25","426","5.4%","100.0","1026.2","9.7%","6.7","6.9","104.1"
"52","Brandon Bolden","NE","RB","16","320","995","32.2%","44","465","9.5%","209","545","38.3%","48","482","9.5%","99.9","1169.1","8.5%","6.2","7.8","124.1"
"53","David Johnson","HST","RB","13","300","758","39.6%","67","313","21.4%","175","463","37.8%","38","376","9.2%","98.7","842.4","11.7%","7.6","6.3","82.3"
"54","D'Onta Foreman","TEN","RB","9","225","584","38.5%","133","291","45.7%","57","302","18.9%","10","256","3.7%","96.9","629.7","15.4%","10.8","10.5","94.9"
"55","Boston Scott","PHI","RB","11","213","702","30.3%","87","387","22.5%","68","348","19.5%","16","270","5.4%","96.1","735.2","13.1%","8.7","9.1","99.6"
"56","Kareem Hunt","CLV","RB","8","221","506","43.7%","78","240","32.5%","105","287","36.6%","25","226","10.2%","92.7","552.4","16.8%","11.6","13.8","110.0"
"57","Latavius Murray","BLT","RB","14","366","955","38.3%","119","425","28.0%","148","587","25.2%","13","450","2.7%","91.5","1038.1","8.8%","6.5","7.4","103.6"
"58","Kenyan Drake","LV","RB","12","267","754","35.4%","63","276","22.8%","161","493","32.7%","36","421","8.0%","87.1","872.8","10.0%","7.3","8.5","102.5"
"59","Khalil Herbert","CHI","RB","16","297","1013","29.3%","103","441","23.4%","129","624","20.7%","16","481","3.1%","84.6","1128.9","7.5%","5.3","4.9","78.9"
"60","Rashaad Penny","SEA","RB","10","247","568","43.5%","119","269","44.2%","80","310","25.8%","8","257","2.9%","83.1","651.3","12.8%","8.3","12.2","121.7"
"61","Ronald Jones","TB","RB","16","210","1079","19.5%","101","365","27.7%","81","724","11.2%","12","660","1.7%","81.8","1426.1","5.7%","5.1","5.1","81.2"
"62","Tevin Coleman","NYJ","RB","11","180","647","27.8%","84","259","32.4%","54","401","13.5%","15","322","4.3%","80.1","751.7","10.7%","7.3","4.7","51.5"
"63","Samaje Perine","CIN","RB","15","252","927","27.2%","55","382","14.4%","152","560","27.1%","31","467","6.3%","75.9","1078.9","7.0%","5.1","5.5","83.2"
"64","Jeremy McNichols","TEN","RB","14","249","927","26.9%","41","455","9.0%","152","488","31.1%","33","400","7.7%","75.1","1000.4","7.5%","5.4","5.3","73.6"
"65","Justin Jackson","LAC","RB","14","224","940","23.8%","68","354","19.2%","106","615","17.2%","24","526","4.3%","73.8","1157.1","6.4%","5.3","6.2","87.2"
"66","Alex Collins","SEA","RB","11","250","599","41.7%","108","245","44.1%","97","373","26.0%","9","296","2.8%","73.4","694.5","10.6%","6.7","6.3","69.8"
