"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"vs. NYG","5.8","A+","19.7","+2.3","62% (10/16)","18%","Great"
"2","Tony Pollard",DAL,"at ARI","7.8","A+","18.1","+3.3","66% (10/15)","35%","Bad"
"3","Bijan Robinson",ATL,"at DET","5.4","A+","16.4","+2.3","100% (2/2)","24%","Poor"
"4","Derrick Henry",TEN,"at CLE","2.2","A","15.4","+2.3","60% (9/15)","48%","Bad"
"5","Travis Etienne Jr.",JAC,"vs. HOU","5.4","A","15.0","-0.6","62% (10/16)","4%","Great"
"6","Kenneth Walker III",SEA,"vs. CAR","8.8","A","14.9","+1.3","46% (7/15)","41%","Average"
"7","Josh Jacobs",LV,"vs. PIT","4.2","A","14.4","+2.7","56% (9/16)","16%","Bad"
"8","Joe Mixon",CIN,"vs. LAR","4.4","A","13.9","-1.5","28% (4/14)","14%","Bad"
"9","Jahmyr Gibbs",DET,"vs. ATL","7.0","A","13.8","-3.9","0% (0/2)","4%","Bad"
"10","Rhamondre Stevenson",NE,"at NYJ","3.0","A-","13.5","-0.5","50% (8/16)","18%","Average"
"11","Kyren Williams",LAR,"at CIN","6.0","A-","13.1","+1.4","50% (5/10)","35%","Great"
"12","Raheem Mostert",MIA,"vs. DEN","7.0","A-","13.0","+0.7","53% (8/15)","18%","Great"
"13","James Cook",BUF,"at WAS","4.6","A-","12.6","+1.9","56% (9/16)","4%","Bad"
"14","Miles Sanders",CAR,"at SEA","7.2","B+","12.5","-0.1","37% (6/16)","19%","Bad"
"15","Alexander Mattison",MIN,"vs. LAC","8.6","B+","12.0","-0.7","37% (6/16)","34%","Poor"
"16","Brian Robinson Jr.",WAS,"vs. BUF","4.4","B","11.9","+1.3","50% (7/14)","30%","Great"
"17","D'Andre Swift",PHI,"at TB","6.8","B","11.8","+0.7","38% (5/13)","31%","Poor"
"18","Isiah Pacheco",KC,"vs. CHI","9.2","B","11.7","-1.1","35% (6/17)","5%","Bad"
"19","Rachaad White",TB,"vs. PHI","6.8","B","11.6","+0.3","43% (7/16)","22%","Great"
"20","Joshua Kelley",LAC,"at MIN","2.2","B","11.3","+1.1","50% (6/12)","11%","Average"
"21","Najee Harris",PIT,"at LV","8.0","B-","11.1","-0.4","43% (7/16)","2%","Bad"
"22","James Conner",ARI,"vs. DAL","5.8","B-","11.1","+1.3","53% (7/13)","32%","Great"
"23","Zack Moss",IND,"at BAL","7.6","B-","10.8","-0.2","27% (3/11)","10%","Great"
"24","Jerome Ford",CLE,"vs. TEN","2.6","C+","10.7","+0.3","10% (1/10)","14%","Great"
"25","Javonte Williams",DEN,"at MIA","5.4","C+","10.6","-3.2","0% (0/3)","8%","Bad"
"26","Breece Hall",NYJ,"vs. NE","6.0","C+","10.5","+4.0","83% (5/6)","3%","Bad"
"27","Dameon Pierce",HOU,"at JAC","4.0","C+","10.3","-2.0","30% (4/13)","27%","Bad"
"28","Tyler Allgeier",ATL,"at DET","4.8","C","10.0","+2.7","56% (9/16)","21%","Great"
"29","Aaron Jones",GB,"vs. NO","7.2","C+","9.9","-0.8","46% (7/15)","36%","Great"
"30","AJ Dillon",GB,"vs. NO","7.8","C","9.8","0.0","25% (4/16)","23%","Bad"
"31","Gus Edwards",BAL,"vs. IND","5.0","C","9.6","+1.0","60% (6/10)","7%","Great"
"32","Khalil Herbert",CHI,"at KC","5.4","C","8.8","+1.5","33% (4/12)","2%","Bad"
"33","Jaylen Warren",PIT,"at LV","8.2","C","8.6","+1.0","46% (7/15)","4%","Bad"
"34","Roschon Johnson",CHI,"at KC","5.2","C","8.6","+4.3","50% (1/2)","26%","Average"
"35","Matt Breida",NYG,"at SF","2.4","C-","8.0","0.0","25% (4/16)","0%","Bad"
"36","Dalvin Cook",NYJ,"vs. NE","6.6","C-","7.8","-1.8","31% (5/16)","25%","Bad"
"37","Samaje Perine",DEN,"at MIA","5.4","C-","7.7","+1.6","43% (7/16)","6%","Bad"
"38","Justice Hill",BAL,"vs. IND","5.8","C-","7.1","+0.4","35% (5/14)","24%","Average"
"39","Tony Jones Jr.",NO,"at GB","8.0","D+","6.7","+1.2","20% (1/5)","28%","Average"
"40","Chuba Hubbard",CAR,"at SEA","7.8","D","6.6","+1.8","64% (9/14)","8%","Bad"
"41","Craig Reynolds",DET,"vs. ATL","7.6","D+","6.6","-0.6","20% (2/10)","5%","Bad"
"42","Tyjae Spears",TEN,"at CLE","2.4","D","6.4","+0.4","50% (1/2)","5%","Bad"
"43","Antonio Gibson",WAS,"vs. BUF","4.0","D","5.9","-0.8","33% (5/15)","2%","Bad"
"44","Ezekiel Elliott",NE,"at NYJ","2.4","D","5.6","+1.4","64% (9/14)","5%","Bad"
"45","Jerick McKinnon",KC,"vs. CHI","7.2","D","5.6","+1.9","47% (8/17)","0%","Bad"
"46","Kenneth Gainwell",PHI,"at TB","6.4","D","5.5","-0.2","40% (6/15)","11%","Bad"
"47","Tank Bigsby",JAC,"vs. HOU","5.6","D-","5.3","-2.8","0% (0/2)","26%","Good"
"48","Zach Charbonnet",SEA,"vs. CAR","8.8","D-","5.2","-3.3","0% (0/2)","6%","Bad"
"49","Kendre Miller",NO,"at GB","7.8","D-","5.1","-","-","0%","N/A"
"50","Latavius Murray",BUF,"at WAS","4.2","F","5.0","+2.5","71% (10/14)","20%","Poor"
"51","Elijah Mitchell",SF,"vs. NYG","6.0","F","4.8","-1.5","20% (1/5)","2%","Bad"
"52","Damien Harris",BUF,"at WAS","4.2","F","4.8","-0.6","50% (5/10)","19%","Poor"
