"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. CHI","5.6","A+","15.1","-0.6","43% (7/16)","20%","Great"
"2","Mark Andrews",BAL,"vs. IND","6.6","A","11.3","-2.7","35% (5/14)","14%","Great"
"3","T.J. Hockenson",MIN,"vs. LAC","5.8","A","11.2","+1.7","43% (7/16)","33%","Good"
"4","Darren Waller",NYG,"at SF","5.0","A-","9.1","-2.0","37% (3/8)","13%","Bad"
"5","George Kittle",SF,"vs. NYG","8.4","B+","8.7","-0.2","31% (5/16)","5%","Bad"
"6","Dallas Goedert",PHI,"at TB","5.8","B","8.2","-0.7","36% (4/11)","1%","Bad"
"7","Evan Engram",JAC,"vs. HOU","9.0","B","8.0","+1.6","56% (9/16)","2%","Bad"
"8","Sam LaPorta",DET,"vs. ATL","5.0","B-","8.0","+1.1","100% (2/2)","5%","Bad"
"9","David Njoku",CLE,"vs. TEN","7.0","C+","7.7","+0.6","38% (5/13)","3%","Bad"
"10","Pat Freiermuth",PIT,"at LV","8.2","C+","7.5","-2.0","33% (5/15)","29%","Poor"
"11","Kyle Pitts",ATL,"at DET","6.0","C","7.1","-1.9","30% (3/10)","11%","Bad"
"12","Hunter Henry",NE,"at NYJ","6.8","C","7.0","+0.9","50% (8/16)","6%","Great"
"13","Tyler Higbee",LAR,"at CIN","5.2","C-","6.9","-1.5","25% (4/16)","3%","Bad"
"14","Dalton Kincaid",BUF,"at WAS","5.6","D+","6.9","-0.8","0% (0/2)","4%","Bad"
"15","Jake Ferguson",DAL,"at ARI","8.4","C-","6.9","+0.4","40% (6/15)","26%","Bad"
"16","Zach Ertz",ARI,"vs. DAL","8.0","D+","6.6","+0.8","55% (5/9)","15%","Bad"
"17","Luke Musgrave",GB,"vs. NO","6.4","D","6.4","-1.5","50% (1/2)","5%","Bad"
"18","Cole Kmet",CHI,"at KC","8.0","D","6.3","+1.2","37% (6/16)","9%","Bad"
"19","Gerald Everett",LAC,"at MIN","5.4","D","6.2","-2.2","31% (5/16)","2%","Bad"
"20","Taysom Hill",NO,"at GB","5.8","D","6.2","+6.0","80% (12/15)","7%","Bad"
"21","Hayden Hurst",CAR,"at SEA","5.8","D-","6.1","+0.1","38% (5/13)","31%","Great"
