"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Justin Jefferson",MIN,"vs. LAC","3.8","A+","18.6","+1.2","62% (10/16)","11%","Bad"
"2","Tyreek Hill",MIA,"vs. DEN","6.2","A+","18.0","+0.7","43% (7/16)","32%","Good"
"3","Stefon Diggs",BUF,"at WAS","6.2","A+","15.6","-2.7","37% (6/16)","15%","Average"
"4","CeeDee Lamb",DAL,"at ARI","7.2","A+","14.9","+1.4","56% (9/16)","2%","Bad"
"5","A.J. Brown",PHI,"at TB","6.4","A+","14.6","-0.1","43% (7/16)","9%","Bad"
"6","Davante Adams",LV,"vs. PIT","6.6","A","14.6","+0.4","43% (7/16)","12%","Good"
"7","Amon-Ra St. Brown",DET,"vs. ATL","7.6","A","14.3","-2.3","26% (4/15)","13%","Great"
"8","Ja'Marr Chase",CIN,"vs. LAR","6.0","A","14.0","-2.9","25% (3/12)","20%","Bad"
"9","Keenan Allen",LAC,"at MIN","5.4","A","13.9","-0.4","54% (6/11)","14%","Great"
"10","DeVonta Smith",PHI,"at TB","7.2","A","13.9","+2.9","68% (11/16)","18%","Great"
"11","Calvin Ridley",JAC,"vs. HOU","3.6","A","13.4","-0.8","50% (1/2)","27%","Bad"
"12","Chris Olave",NO,"at GB","6.8","A","12.9","-0.5","35% (5/14)","15%","Bad"
"13","Puka Nacua",LAR,"at CIN","4.4","A","12.7","+11.5","100% (2/2)","8%","Bad"
"14","Deebo Samuel",SF,"vs. NYG","5.4","A","12.4","-2.1","33% (4/12)","17%","Great"
"15","Jaylen Waddle",MIA,"vs. DEN","6.8","A-","12.3","-1.7","37% (6/16)","2%","Bad"
"16","Mike Williams",LAC,"at MIN","5.4","A-","12.2","-1.2","50% (6/12)","6%","Bad"
"17","DK Metcalf",SEA,"vs. CAR","4.2","A-","12.2","-1.3","43% (7/16)","10%","Great"
"18","Tee Higgins",CIN,"vs. LAR","5.8","A-","12.1","-1.0","37% (6/16)","47%","Poor"
"19","Mike Evans",TB,"vs. PHI","4.8","A-","12.0","+1.1","46% (7/15)","17%","Great"
"20","Tyler Lockett",SEA,"vs. CAR","5.0","A-","11.9","+0.2","53% (8/15)","35%","Average"
"21","George Pickens",PIT,"at LV","7.4","B+","11.6","+0.8","62% (10/16)","8%","Great"
"22","Amari Cooper",CLE,"vs. TEN","8.2","B+","11.3","+0.2","43% (7/16)","12%","Bad"
"23","Chris Godwin",TB,"vs. PHI","5.6","B","11.0","-0.6","33% (5/15)","19%","Bad"
"24","Garrett Wilson",NYJ,"vs. NE","4.6","B","10.9","-1.4","31% (5/16)","50%","Great"
"25","Michael Pittman Jr.",IND,"at BAL","5.8","B","10.8","-1.6","31% (5/16)","14%","Good"
"26","DJ Moore",CHI,"at KC","6.2","B","10.8","-0.8","43% (7/16)","2%","Bad"
"27","Brandon Aiyuk",SF,"vs. NYG","5.4","B","10.4","+2.4","56% (9/16)","34%","Great"
"28","Nico Collins",HOU,"at JAC","4.8","B","10.3","+2.5","60% (6/10)","8%","Great"
"29","Terry McLaurin",WAS,"vs. BUF","5.8","B","10.2","-1.3","43% (7/16)","5%","Great"
"30","Zay Flowers",BAL,"vs. IND","6.8","B","10.2","+1.2","50% (1/2)","18%","Bad"
"31","DeAndre Hopkins",TEN,"at CLE","5.4","B-","10.0","-1.1","36% (4/11)","12%","Bad"
"32","Drake London",ATL,"at DET","6.8","B-","10.0","-2.1","37% (6/16)","13%","Good"
"33","Jerry Jeudy",DEN,"at MIA","4.0","B-","9.8","0.0","46% (6/13)","1%","Bad"
"34","Jordan Addison",MIN,"vs. LAC","4.0","C+","9.8","+6.0","100% (2/2)","9%","Great"
"35","Jahan Dotson",WAS,"vs. BUF","6.4","C+","9.7","+0.5","36% (4/11)","1%","Bad"
"36","Michael Thomas",NO,"at GB","6.0","C+","9.6","-1.3","0% (0/3)","12%","Bad"
"37","Christian Kirk",JAC,"vs. HOU","3.8","C+","9.6","-1.9","31% (5/16)","1%","Bad"
"38","Tutu Atwell",LAR,"at CIN","4.6","C+","9.5","+0.8","53% (7/13)","4%","Bad"
"39","Gabe Davis",BUF,"at WAS","6.6","C+","9.4","-1.0","31% (5/16)","11%","Average"
