,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
1,Western Kentucky,6,19,19,100.00,15,78.95,4,21.05
1,Wisconsin,4,18,18,100.00,13,72.22,5,27.78
1,Florida State,4,17,17,100.00,14,82.35,3,17.65
1,Colorado,5,17,17,100.00,12,70.59,5,29.41
1,Oregon State,5,15,15,100.00,14,93.33,1,6.67
1,South Alabama,5,14,14,100.00,11,78.57,3,21.43
7,Toledo,5,26,25,96.15,23,88.46,2,7.69
8,UNLV,5,22,21,95.45,13,59.09,8,36.36
9,Missouri,5,21,20,95.24,14,66.67,6,28.57
10,Kansas,5,20,19,95.00,15,75.00,4,20.00
11,North Texas,4,19,18,94.74,13,68.42,5,26.32
11,Troy,5,19,18,94.74,10,52.63,8,42.11
13,Arkansas,5,18,17,94.44,12,66.67,5,27.78
13,Minnesota,5,18,17,94.44,11,61.11,6,33.33
15,BYU,5,17,16,94.12,13,76.47,3,17.65
15,Oklahoma State,5,17,16,94.12,10,58.82,6,35.29
15,Alabama,5,17,16,94.12,9,52.94,7,41.18
18,Northwestern,5,15,14,93.33,11,73.33,3,20.00
18,Iowa,5,15,14,93.33,8,53.33,6,40.00
20,Penn State,5,28,26,92.86,22,78.57,4,14.29
20,Wyoming,5,14,13,92.86,8,57.14,5,35.71
22,Pittsburgh,5,13,12,92.31,9,69.23,3,23.08
23,Tennessee,5,24,22,91.67,16,66.67,6,25.00
23,Texas A&M,5,24,22,91.67,15,62.50,7,29.17
23,Arizona State,5,12,11,91.67,6,50.00,5,41.67
26,USC,5,23,21,91.30,19,82.61,2,8.70
27,Southern Mississippi,5,22,20,90.91,11,50.00,9,40.91
28,Arizona,5,21,19,90.48,15,71.43,4,19.05
28,Miami (Florida),4,21,19,90.48,14,66.67,5,23.81
28,Tulsa,5,21,19,90.48,14,66.67,5,23.81
28,Louisiana Tech,7,21,19,90.48,13,61.90,6,28.57
28,Texas,5,21,19,90.48,11,52.38,8,38.10
33,Air Force,5,20,18,90.00,17,85.00,1,5.00
33,Rutgers,5,20,18,90.00,16,80.00,2,10.00
33,Florida,5,20,18,90.00,12,60.00,6,30.00
36,Washington,5,29,26,89.66,23,79.31,3,10.34
37,Rice,5,19,17,89.47,16,84.21,1,5.26
37,North Carolina,4,19,17,89.47,14,73.68,3,15.79
37,Texas Tech,5,19,17,89.47,13,68.42,4,21.05
37,SMU,5,19,17,89.47,12,63.16,5,26.32
41,Oregon,5,28,25,89.29,21,75.00,4,14.29
42,LSU,5,27,24,88.89,20,74.07,4,14.81
42,Oklahoma,5,27,24,88.89,19,70.37,5,18.52
42,New Mexico,5,18,16,88.89,12,66.67,4,22.22
42,Kent State,5,9,8,88.89,3,33.33,5,55.56
46,Georgia,5,26,23,88.46,17,65.38,6,23.08
47,San Jose State,5,17,15,88.24,12,70.59,3,17.65
47,South Carolina,5,17,15,88.24,12,70.59,3,17.65
49,Kansas State,5,25,22,88.00,20,80.00,2,8.00
50,Memphis,5,24,21,87.50,18,75.00,3,12.50
50,Buffalo,5,16,14,87.50,14,87.50,0,0.00
52,Texas State,5,23,20,86.96,19,82.61,1,4.35
53,Boston College,5,15,13,86.67,11,73.33,2,13.33
53,Virginia,5,15,13,86.67,10,66.67,3,20.00
53,Stanford,5,15,13,86.67,7,46.67,6,40.00
56,Maryland,5,22,19,86.36,16,72.73,3,13.64
57,Notre Dame,6,21,18,85.71,16,76.19,2,9.52
57,Utah State,5,21,18,85.71,13,61.90,5,23.81
57,Fresno State,5,21,18,85.71,12,57.14,6,28.57
60,Massachusetts,6,20,17,85.00,10,50.00,7,35.00
61,Northern Illinois,5,13,11,84.62,8,61.54,3,23.08
61,Ball State,5,13,11,84.62,7,53.85,4,30.77
63,Louisville,5,19,16,84.21,12,63.16,4,21.05
63,East Carolina,5,19,16,84.21,10,52.63,6,31.58
65,Mississippi,5,25,21,84.00,16,64.00,5,20.00
66,Boise State,5,18,15,83.33,11,61.11,4,22.22
66,Bowling Green,5,18,15,83.33,11,61.11,4,22.22
66,Georgia State,5,18,15,83.33,11,61.11,4,22.22
66,Mississippi State,5,18,15,83.33,11,61.11,4,22.22
66,Wake Forest,4,18,15,83.33,7,38.89,8,44.44
66,Nevada,5,12,10,83.33,7,58.33,3,25.00
66,Eastern Michigan,5,12,10,83.33,5,41.67,5,41.67
73,Georgia Southern,5,29,24,82.76,16,55.17,8,27.59
74,North Carolina State,5,17,14,82.35,12,70.59,2,11.76
74,Illinois,6,17,14,82.35,11,64.71,3,17.65
76,Michigan,5,22,18,81.82,17,77.27,1,4.55
76,Duke,5,22,18,81.82,15,68.18,3,13.64
78,Central Michigan,5,16,13,81.25,11,68.75,2,12.50
78,Michigan State,5,16,13,81.25,10,62.50,3,18.75
78,Army,4,16,13,81.25,9,56.25,4,25.00
