,,,10+,20+,30+,40+,50+,60+,70+,80+,90+

1,USC,5,107,39,17,11,5,4,4,0,0
2,Washington,5,102,43,24,8,4,0,0,0,0
3,Oregon,5,98,30,18,8,4,2,1,0,0
4,LSU,5,97,40,20,11,3,1,1,0,0
5,Louisiana Tech,7,96,33,18,9,6,4,1,1,0
5,Notre Dame,6,96,40,18,11,5,4,3,1,0
5,TCU,5,96,26,11,2,2,1,1,0,0
8,Georgia Southern,5,95,22,8,4,1,1,0,0,0
9,Georgia Tech,5,94,29,15,8,5,1,0,0,0
10,Mississippi,5,93,42,19,10,4,3,0,0,0
11,Cincinnati,5,91,30,13,5,3,2,0,0,0
12,Clemson,5,90,19,9,5,1,1,0,0,0
12,UCF,5,90,40,20,11,6,3,1,0,0
14,Appalachian State,5,89,22,10,3,2,1,0,0,0
14,Liberty,5,89,36,17,10,5,3,1,0,0
14,Massachusetts,6,89,29,11,8,7,4,0,0,0
17,Oklahoma,5,88,29,16,9,4,0,0,0,0
17,Texas State,5,88,39,14,8,5,3,2,1,0
19,Georgia,5,87,28,13,7,3,0,0,0,0
19,Tennessee,5,87,22,15,12,3,1,1,1,0
21,Colorado,5,85,29,14,9,2,2,1,0,0
21,Kansas State,5,85,28,15,6,1,1,1,0,0
21,Syracuse,5,85,31,13,5,1,1,1,1,0
21,Toledo,5,85,27,12,5,2,1,0,0,0
21,UAB,5,85,19,7,3,1,1,0,0,0
21,Western Kentucky,6,85,28,13,6,4,1,1,0,0
27,New Mexico State,6,84,36,18,12,6,5,4,2,0
27,Texas,5,84,30,19,10,5,2,0,0,0
29,Texas A&M,5,83,27,12,2,1,1,1,0,0
30,Fresno State,5,82,23,9,6,2,2,1,0,0
31,Hawai'i,6,81,26,12,5,4,0,0,0,0
31,Illinois,6,81,26,13,7,2,2,1,0,0
31,Middle Tennessee,6,81,28,14,8,3,3,3,0,0
31,Missouri,5,81,26,14,9,2,1,1,0,0
35,Memphis,5,80,29,10,8,6,2,0,0,0
35,UTEP,6,80,28,5,2,1,0,0,0,0
37,Kansas,5,79,22,7,7,3,0,0,0,0
37,Maryland,5,79,30,14,7,2,2,0,0,0
37,Oregon State,5,79,30,14,7,3,2,1,0,0
37,Vanderbilt,6,79,36,17,7,2,0,0,0,0
41,Duke,5,78,27,9,2,0,0,0,0,0
41,Houston,5,78,23,11,6,3,0,0,0,0
41,Washington State,4,78,31,12,6,4,2,1,0,0
44,Baylor,5,77,25,17,5,2,0,0,0,0
44,Louisville,5,77,34,22,12,6,5,5,1,0
44,Purdue,5,77,18,5,3,1,1,1,1,0
47,Miami (Florida),4,76,29,8,4,2,1,0,0,0
47,Southern Mississippi,5,76,25,10,3,1,0,0,0,0
47,Troy,5,76,29,15,7,2,0,0,0,0
50,Coastal Carolina,5,75,25,15,8,4,2,1,0,0
50,Florida,5,75,18,7,3,2,1,0,0,0
52,California,5,74,27,9,4,2,1,0,0,0
52,Jacksonville State,6,74,28,12,7,2,2,0,0,0
54,Arizona,5,73,22,11,4,3,0,0,0,0
54,Bowling Green,5,73,19,9,4,2,0,0,0,0
54,New Mexico,5,73,25,12,9,4,1,1,0,0
57,Michigan,5,72,25,8,3,2,0,0,0,0
58,Georgia State,5,71,21,13,7,5,4,2,1,1
58,Nebraska,6,71,24,12,6,4,2,2,0,0
58,Penn State,5,71,12,5,1,1,1,1,0,0
61,Boise State,5,70,29,13,6,4,0,0,0,0
61,Kentucky,5,70,33,16,8,6,1,1,0,0
63,Florida International,6,69,24,17,11,3,3,0,0,0
63,Louisiana-Lafayette,5,69,28,15,9,7,3,1,1,0
63,SMU,5,69,23,10,8,6,4,2,2,2
63,San Diego State,6,69,24,6,2,1,0,0,0,0
63,South Carolina,5,69,25,14,9,5,3,3,0,0
63,Tulane,5,69,27,14,7,2,1,0,0,0
69,Boston College,5,68,28,14,4,1,0,0,0,0
69,Wake Forest,4,68,18,9,5,2,2,1,0,0
71,Indiana,5,67,22,5,3,0,0,0,0,0
71,Mississippi State,5,67,22,12,6,5,2,0,0,0
71,South Alabama,5,67,17,11,6,5,3,2,1,0
71,South Florida,5,67,26,13,8,6,2,2,2,0
71,Texas Tech,5,67,23,11,4,2,0,0,0,0
71,Utah State,5,67,29,16,10,7,5,2,0,0
77,Michigan State,5,66,19,11,4,2,2,1,0,0
77,Tulsa,5,66,20,9,6,2,1,1,1,0
79,Alabama,5,65,28,11,7,2,0,0,0,0
79,James Madison,5,65,25,14,9,6,2,1,0,0
79,Miami (Ohio),5,65,28,15,9,4,3,3,1,1
79,North Carolina,4,65,17,11,6,4,1,0,0,0
79,UNLV,5,65,24,9,6,3,1,0,0,0
79,Virginia Tech,5,65,22,11,4,2,0,0,0,0
85,Central Michigan,5,64,19,9,3,3,2,1,0,0
86,North Texas,4,63,24,12,5,4,1,1,1,0
87,Arkansas State,5,62,26,13,7,4,3,0,0,0
87,BYU,5,62,22,10,5,3,1,0,0,0
87,Ball State,5,62,20,3,1,1,0,0,0,0
87,Connecticut,5,62,16,8,2,1,1,1,0,0
87,Marshall,4,62,19,9,5,4,2,1,0,0
87,Rice,5,62,28,17,6,3,2,2,1,0
93,Colorado State,4,61,18,10,7,3,2,2,0,0
93,Minnesota,5,61,16,3,2,0,0,0,0,0
93,Oklahoma State,5,61,19,10,4,2,2,1,0,0
93,San Jose State,5,61,23,10,2,1,0,0,0,0
93,UCLA,4,61,28,17,9,6,4,1,1,0
98,Arkansas,5,60,18,10,4,3,1,0,0,0
98,Auburn,5,60,20,12,5,1,1,0,0,0
98,East Carolina,5,60,12,9,1,1,0,0,0,0
