,Name,G,TFL,TFL Yards,TFL/G
1,James Madison,5,51.0,234,10.20
1,Jacksonville State,6,51.0,223,8.50
3,USC,5,49.0,222,9.80
3,Texas State,5,49.0,199,9.80
3,Texas A&M,5,49.0,177,9.80
6,Tennessee,5,47.0,189,9.40
7,Kansas State,5,43.0,155,8.60
8,Oklahoma,5,42.0,119,8.40
9,Syracuse,5,41.0,190,8.20
9,Kansas,5,41.0,155,8.20
9,Louisiana Tech,7,41.0,147,5.86
9,South Florida,5,41.0,140,8.20
13,Utah,5,40.0,196,8.00
13,Tulane,5,40.0,178,8.00
13,New Mexico State,6,40.0,168,6.67
16,UCLA,4,38.0,158,9.50
16,Middle Tennessee,6,38.0,149,6.33
18,Mississippi,5,37.0,185,7.40
18,Penn State,5,37.0,157,7.40
18,Alabama,5,37.0,144,7.40
21,Arkansas,5,36.0,157,7.20
21,Rice,5,36.0,145,7.20
21,Clemson,5,36.0,139,7.20
21,East Carolina,5,36.0,127,7.20
21,West Virginia,5,36.0,125,7.20
21,Arkansas State,5,36.0,122,7.20
27,Oregon State,5,35.0,203,7.00
27,Old Dominion,5,35.0,160,7.00
27,Pittsburgh,5,35.0,151,7.00
27,Arizona,5,35.0,140,7.00
27,Fresno State,5,35.0,127,7.00
27,SMU,5,35.0,127,7.00
27,Vanderbilt,6,35.0,118,5.83
34,Colorado State,4,34.0,153,8.50
34,Purdue,5,34.0,146,6.80
34,Ohio,5,34.0,135,6.80
34,Florida International,6,34.0,117,5.67
34,Memphis,5,34.0,115,6.80
39,Oregon,5,33.0,204,6.60
39,UNLV,5,33.0,160,6.60
39,Cincinnati,5,33.0,131,6.60
39,Hawai'i,6,33.0,131,5.50
39,Liberty,5,33.0,110,6.60
44,Nebraska,6,32.0,150,5.33
44,Missouri,5,32.0,143,6.40
44,Miami (Ohio),5,32.0,134,6.40
44,Virginia Tech,5,32.0,125,6.40
44,Buffalo,5,32.0,109,6.40
44,Connecticut,5,32.0,74,6.40
50,North Carolina State,5,31.0,158,6.20
50,Kentucky,5,31.0,140,6.20
50,Western Michigan,5,31.0,132,6.20
50,TCU,5,31.0,129,6.20
50,Georgia Southern,5,31.0,127,6.20
50,Michigan State,5,31.0,100,6.20
56,UCF,5,30.0,140,6.00
56,Marshall,4,30.0,136,7.50
56,Akron,5,30.0,133,6.00
56,Michigan,5,30.0,132,6.00
56,Wake Forest,4,30.0,131,7.50
56,Texas,5,30.0,130,6.00
56,Mississippi State,5,30.0,121,6.00
56,Georgia State,5,30.0,115,6.00
56,Auburn,5,30.0,110,6.00
56,South Alabama,5,30.0,106,6.00
56,Oklahoma State,5,30.0,97,6.00
67,Arizona State,5,29.0,152,5.80
67,Louisiana-Lafayette,5,29.0,142,5.80
67,Toledo,5,29.0,125,5.80
67,Charlotte,5,29.0,106,5.80
67,Massachusetts,6,29.0,103,4.83
67,Baylor,5,29.0,84,5.80
73,Maryland,5,28.0,143,5.60
73,Air Force,5,28.0,126,5.60
73,Duke,5,28.0,116,5.60
73,Western Kentucky,6,28.0,115,4.67
73,Troy,5,28.0,107,5.60
73,Utah State,5,28.0,95,5.60
73,Georgia,5,28.0,92,5.60
80,Bowling Green,5,27.0,130,5.40
80,Appalachian State,5,27.0,122,5.40
80,Wisconsin,4,27.0,117,6.75
80,Miami (Florida),4,27.0,103,6.75
80,LSU,5,27.0,89,5.40
85,North Carolina,4,26.0,132,6.50
85,Boise State,5,26.0,102,5.20
85,Illinois,6,26.0,101,4.33
85,UTSA,4,26.0,97,6.50
85,Louisville,5,26.0,90,5.20
85,Kent State,5,26.0,83,5.20
85,Tulsa,5,26.0,83,5.20
85,Temple,5,26.0,75,5.20
93,Notre Dame,6,25.0,140,4.17
93,Florida State,4,25.0,119,6.25
93,Southern Mississippi,5,25.0,99,5.00
93,Houston,5,25.0,97,5.00
93,UTEP,6,25.0,93,4.17
93,Indiana,5,25.0,90,5.00
93,Colorado,5,25.0,85,5.00
93,Georgia Tech,5,25.0,85,5.00
93,Texas Tech,5,25.0,85,5.00
93,Coastal Carolina,5,25.0,82,5.00
103,Iowa State,5,24.0,94,4.80
103,Eastern Michigan,5,24.0,90,4.80
103,Central Michigan,5,24.0,83,4.80
103,Iowa,5,24.0,79,4.80
107,Florida,5,23.0,112,4.60
107,San Diego State,6,23.0,89,3.83
107,Virginia,5,23.0,70,4.60
110,Nevada,5,22.0,101,4.40
110,Wyoming,5,22.0,101,4.40
110,Minnesota,5,22.0,97,4.40
110,Army,4,22.0,92,5.50
110,BYU,5,22.0,84,4.40
110,San Jose State,5,22.0,72,4.40
110,Boston College,5,22.0,70,4.40
110,Florida Atlantic,4,22.0,62,5.50
110,Northwestern,5,22.0,60,4.40
119,Rutgers,5,21.0,101,4.20
119,Northern Illinois,5,21.0,93,4.20
119,UAB,5,21.0,62,4.20
119,Washington,5,21.0,56,4.20
123,Ball State,5,20.0,85,4.00
123,Louisiana-Monroe,4,20.0,77,5.00
125,Washington State,4,19.0,82,4.75
125,South Carolina,5,19.0,77,3.80
125,Sam Houston State,5,19.0,73,3.80
125,Ohio State,4,19.0,71,4.75
129,New Mexico,5,18.0,86,3.60
129,Navy,4,18.0,80,4.50
129,Stanford,5,18.0,76,3.60
129,California,5,18.0,70,3.60
133,North Texas,4,16.0,36,4.00
