GC,CONF,REM SOS,FPI,SOS,AVGWP,SOR,AP/CFP,Team
,Big Ten,,,,,,,Ohio State Buckeyes
,Big 12,,,,,,,Oklahoma Sooners
,SEC,,,,,,,Alabama Crimson Tide
,Big 12,,,,,,,Texas Longhorns
,Pac-12,,,,,,,Oregon Ducks
,Big Ten,,,,,,,Penn State Nittany Lions
,SEC,,,,,,,Georgia Bulldogs
,Big Ten,,,,,,,Michigan Wolverines
,Pac-12,,,,,,,Washington Huskies
,ACC,,,,,,,Florida State Seminoles
,FBS Indep.,,,,,,,Notre Dame Fighting Irish
,Pac-12,,,,,,,USC Trojans
,SEC,,,,,,,Ole Miss Rebels
,SEC,,,,,,,LSU Tigers
,ACC,,,,,,,Miami Hurricanes
,SEC,,,,,,,Texas A&M Aggies
,ACC,,,,,,,Clemson Tigers
,SEC,,,,,,,Tennessee Volunteers
,Pac-12,,,,,,,Oregon State Beavers
,ACC,,,,,,,North Carolina Tar Heels
,ACC,,,,,,,Syracuse Orange
,Big 12,,,,,,,Kansas State Wildcats
,ACC,,,,,,,Duke Blue Devils
,Big Ten,,,,,,,Wisconsin Badgers
,Big Ten,,,,,,,Maryland Terrapins
,Pac-12,,,,,,,Utah Utes
,Big 12,,,,,,,TCU Horned Frogs
,ACC,,,,,,,Louisville Cardinals
,Pac-12,,,,,,,UCLA Bruins
,SEC,,,,,,,Kentucky Wildcats
,Big 12,,,,,,,UCF Knights
,SEC,,,,,,,Auburn Tigers
,Big 12,,,,,,,Texas Tech Red Raiders
,American,,,,,,,SMU Mustangs
,SEC,,,,,,,Arkansas Razorbacks
,SEC,,,,,,,Florida Gators
,SEC,,,,,,,Missouri Tigers
,Pac-12,,,,,,,Washington State Cougars
,Big Ten,,,,,,,Iowa Hawkeyes
,SEC,,,,,,,South Carolina Gamecocks
,Big 12,,,,,,,Cincinnati Bearcats
,Pac-12,,,,,,,California Golden Bears
,Big 12,,,,,,,West Virginia Mountaineers
,Big Ten,,,,,,,Rutgers Scarlet Knights
,Mountain West,,,,,,,Air Force Falcons
,SEC,,,,,,,Mississippi State Bulldogs
,American,,,,,,,Tulane Green Wave
,Mountain West,,,,,,,Fresno State Bulldogs
