,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Michigan,5,6.0,14.2,24.4,58.2,160.6,0.2,27.4,85.6,3.1,0.4,51.8,246.2,4.8,6.4,4.6,0.4,11.4,4.8,39.6,0.2,1.0,1.2
2,Ohio State,4,8.5,16.3,27.8,58.6,149.0,0.5,34.5,106.5,3.1,0.5,62.3,255.5,4.1,8.0,5.5,1.3,14.8,6.0,56.3,0.5,0.8,1.3
3,Penn State,5,9.6,13.8,27.2,50.7,136.4,0.2,28.4,74.2,2.6,1.0,55.6,210.6,3.8,5.8,4.6,1.2,11.6,4.8,36.2,1.2,1.2,2.4
4,Ohio,5,10.8,19.2,32.0,60.0,170.6,0.8,22.6,66.6,2.9,0.2,54.6,237.2,4.3,8.0,4.0,1.0,13.0,6.6,66.8,0.6,1.6,2.2
5,Oklahoma,5,10.8,19.4,35.6,54.5,212.8,1.0,33.4,105.2,3.1,0.0,69.0,318.0,4.6,9.2,6.4,1.6,17.2,6.2,44.0,0.4,2.0,2.4
6,UCLA,4,11.0,18.5,32.3,57.4,186.0,0.8,38.0,77.8,2.0,0.3,70.3,263.8,3.8,10.3,5.0,1.0,16.3,3.8,35.0,0.8,1.5,2.3
7,Duke,5,11.2,17.2,32.0,53.8,159.0,0.6,34.6,138.2,4.0,0.8,66.6,297.2,4.5,8.6,9.0,1.0,18.6,5.0,44.2,0.8,0.8,1.6
8,Oregon,5,11.8,19.4,31.8,61.0,153.6,1.2,31.8,102.0,3.2,0.2,63.6,255.6,4.0,7.0,6.0,2.8,15.8,6.2,54.6,0.4,0.8,1.2
9,Utah,5,11.8,16.8,31.2,53.8,215.6,0.6,27.4,67.0,2.4,0.8,58.6,282.6,4.8,8.4,3.0,1.0,12.4,7.6,55.4,0.4,1.2,1.6
10,Air Force,5,12.2,16.6,26.6,62.4,153.2,1.0,25.8,70.6,2.7,0.6,52.4,223.8,4.3,6.4,6.0,1.0,13.4,5.4,37.0,0.6,0.6,1.2
11,Miami (FL),4,12.5,19.5,34.0,57.4,225.0,0.8,25.0,48.0,1.9,0.8,59.0,273.0,4.6,9.3,2.8,2.0,14.0,6.0,44.0,0.8,1.0,1.8
12,Rutgers,5,12.8,16.6,29.8,55.7,169.2,0.8,30.8,98.6,3.2,0.6,60.6,267.8,4.4,7.6,6.6,1.2,15.4,4.8,40.6,0.2,1.0,1.2
13,Texas,5,12.8,16.6,31.0,53.5,196.2,0.8,30.8,94.6,3.1,0.4,61.8,290.8,4.7,8.4,5.2,1.0,14.6,5.0,37.2,0.4,1.2,1.6
14,Georgia,5,13.0,20.2,36.4,55.5,173.8,0.8,28.6,113.4,4.0,0.8,65.0,287.2,4.4,8.8,6.4,1.2,16.4,5.8,41.2,0.0,1.6,1.6
15,Notre Dame,6,13.0,12.7,27.0,46.9,146.8,0.5,35.8,124.2,3.5,1.0,62.8,271.0,4.3,7.0,6.2,2.5,15.7,4.2,34.7,0.2,1.0,1.2
16,Maryland,5,13.2,20.6,35.0,58.9,211.8,1.0,33.2,116.4,3.5,0.4,68.2,328.2,4.8,9.8,9.2,1.6,20.6,6.6,55.2,0.8,1.6,2.4
17,Alabama,5,14.2,19.6,32.8,59.8,184.2,1.0,34.6,112.8,3.3,0.6,67.4,297.0,4.4,8.0,7.2,1.2,16.4,5.8,49.6,0.4,1.2,1.6
18,Syracuse,5,14.8,20.6,34.2,60.2,200.8,0.8,35.4,96.4,2.7,1.2,69.6,297.2,4.3,9.0,5.6,3.2,17.8,6.8,68.0,1.0,1.2,2.2
